"MF88 Individual Supply + Central Exhaust (SZHP)  /  Standard  /  EX01a_MF88_ISUP_CEXH_SZHP_CZ09.cibd25x",003
"Wed 23-Sep-26   1:27:46 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",171.47,0,7.41047,0.129039,44.1299,0,0.163783,0,0,9.04626,11.3723,6.09541,0,5.8374,51.3333,0,15.4061,0,18.5615,0,1.13058,0,0.854092,0,0
"MtrElec",1,1,2,"",113.472,0,8.29245,0,3.02779,0,0.163783,0,0,9.04626,11.3723,6.08721,0,4.8222,47.2797,0,14.6622,2.47506,0,0,0.904462,0,5.33906,0,0
"MtrElec",1,1,3,"",108.878,0,8.81871,0.141972,2.39639,0,0.163783,0,0.0155047,9.04626,11.3723,6.08721,0,3.807,44.8524,0,14.3679,0,0,0,0.678346,0,7.12976,0,0
"MtrElec",1,1,4,"",111.747,0,9.60907,0.911378,2.95237,0,0.163783,0,0.05622,9.04626,11.3723,6.08315,0,4.3146,44.7245,0,14.0061,0,0,0,0.678346,0,7.82861,0,0
"MtrElec",1,1,5,"",108.826,0,10.1146,1.14526,1.35089,0,0.163783,0,0.0803552,9.04626,11.3723,6.07254,0,5.3298,42.5129,0,13.5659,0,0,0,0.678346,0,7.39345,0,0
"MtrElec",1,1,6,"",132.418,0,10.8151,1.50806,22.8354,0,0.163783,0,0.124108,9.04626,11.3723,6.06642,0,7.8678,46.3646,0,13.4899,0,0,0,1.13058,0,1.63376,0,0
"MtrElec",1,1,7,"",204.058,0,11.2119,1.93299,81.9641,0,0.163783,0,0.119914,9.04626,11.3723,6.05717,0,10.6596,52.2089,0,13.8408,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",231.807,0,10.2541,1.64176,82.5875,0,0.163783,0,0.10459,9.04626,11.3723,6.05944,0,10.4058,56.9195,0,14.9783,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",265.148,0,8.34927,0.330724,81.3902,0,0.163783,0,0.067104,9.04626,11.3723,6.06488,0,8.6292,53.744,0,16.8718,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",299.756,0,6.28842,0,81.9241,0,0.163783,0,0.0364219,9.04626,11.3723,0.11137,0,7.3602,51.7744,0,16.5792,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",377.233,0,4.25575,0,84.9591,0,0.163783,0,0.00152034,9.04626,11.3723,0,0,6.8526,52.8005,0,16.3365,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",342.636,0,3.16735,0,85.9744,0,0.163783,0,0.0121719,9.04626,11.3725,0,0,6.345,52.0002,0,16.7047,4.96314,130.077,10.3739,12.4363,0,0,0,0
"MtrElec",1,1,13,"",305.359,0,2.18629,0,85.6818,0,0.163783,0,0.00503724,9.04626,11.3726,0,0,5.3298,53.1487,0,17.0516,10.9151,87.6841,8.52904,14.2453,0,0,0,0
"MtrElec",1,1,14,"",189.59,0,1.47667,0,0.862239,0,0.163783,0,0,9.04626,11.3729,0,0,5.3298,54.647,0,17.2683,0,72.0906,3.99134,13.3408,0,0,0,0
"MtrElec",1,1,15,"",209.217,0,1.15493,0,58.2666,0,0.163783,0,0,9.04626,11.373,0,0,5.3298,57.1222,0,17.0341,0,33.7363,1.97117,14.0191,0,0,0,0
"MtrElec",1,1,16,"",156.666,0,1.3454,0,12.3418,0,0.163783,0,0,9.04626,11.3731,0,0,6.5988,59.8622,0,17.3669,0,16.6611,6.53062,15.3758,0,0,0,0
"MtrElec",1,1,17,"",248.589,0,2.12248,0,50.5553,0,0.163783,0,0,9.04626,11.3724,0,0,7.8678,66.6719,0,17.1398,0,55.1992,7.87351,20.5765,0,0,0,0
