"MF88 Individual Supply + Central Exhaust (SZHP)  /  Standard (PV-Batt only)  /  EX01a_MF88_ISUP_CEXH_SZHP_CZ09.cibd25x",001
"Wed 23-Sep-26   1:29:14 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",230.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.19,0,0,0
"MtrElec",1,1,2,"",173.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.174,0,0,0
"MtrElec",1,1,3,"",167.613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.613,0,0,0
"MtrElec",1,1,4,"",170.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.458,0,0,0
"MtrElec",1,1,5,"",168.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.493,0,0,0
"MtrElec",1,1,6,"",191.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.124,0,0,0
"MtrElec",1,1,7,"",262.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.77,0,0,0
"MtrElec",1,1,8,"",194.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.164,0,0,-98.6962
"MtrElec",1,1,9,"",38.6557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.222,0,0,-299.566
"MtrElec",1,1,10,"",-87.8994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.896,0,0,-459.795
"MtrElec",1,1,11,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490.458,0,69.4636,-559.921
"MtrElec",1,1,12,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.548,0,140.799,-597.347
"MtrElec",1,1,13,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442.09,0,138.801,-580.891
"MtrElec",1,1,14,"",0.0000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326.236,0,30.0091,-356.245
"MtrElec",1,1,15,"",53.5759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.67,0,0,-292.094
"MtrElec",1,1,16,"",114.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.501,0,0,-178.684
"MtrElec",1,1,17,"",364.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.838,0,0,-21.7079
"MtrElec",1,1,18,"",433.669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.669,0,0,0
"MtrElec",1,1,19,"",213.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.146,0,-223.217,0
"MtrElec",1,1,20,"",224.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343.794,0,-118.896,0
"MtrElec",1,1,21,"",293.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.589,0,0,0
"MtrElec",1,1,22,"",327.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.138,0,0,0
"MtrElec",1,1,23,"",259.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.895,0,0,0
"MtrElec",1,1,24,"",203.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.848,0,0,0
"MtrElec",1,2,1,"",171.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.932,0,0,0
"MtrElec",1,2,2,"",169.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.565,0,0,0
"MtrElec",1,2,3,"",212.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.381,0,0,0
