"MF88 Individual Supply + Central Exhaust (SZHP)  /  Proposed (PV-Batt only)  /  EX01a_MF88_ISUP_CEXH_SZHP_CZ09.cibd25x",001
"Wed 23-Sep-26   1:29:14 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",234.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.956,0,0,0
"MtrElec",1,1,2,"",167.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.516,0,0,0
"MtrElec",1,1,3,"",163.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.654,0,0,0
"MtrElec",1,1,4,"",165.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.591,0,0,0
"MtrElec",1,1,5,"",164.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.272,0,0,0
"MtrElec",1,1,6,"",229.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.296,0,0,0
"MtrElec",1,1,7,"",212.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.147,0,0,0
"MtrElec",1,1,8,"",188.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.435,0,0,-98.247
"MtrElec",1,1,9,"",96.3399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394.542,0,0,-298.202
"MtrElec",1,1,10,"",-53.3606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404.342,0,0,-457.703
"MtrElec",1,1,11,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.057,0,130.316,-557.373
"MtrElec",1,1,12,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501.462,0,93.1663,-594.628
"MtrElec",1,1,13,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.374,0,151.873,-578.248
