"MF88 Individual Supply + Central Exhaust (SZHP)  /  Proposed-x  /  EX01a_MF88_ISUP_CEXH_SZHP_CZ09.cibd25x",003
"Wed 23-Sep-26   1:25:50 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",144.563,0,28.1832,0,0.114899,0,0.163783,0,0,9.04626,8.04101,5.86491,0,5.8374,51.3333,0,15.3758,0,18.5615,0,1.13058,0,0.910364,0,0
"MtrElec",1,1,2,"",222.951,0,30.6295,0,93.7333,0,0.163783,0,0,9.04626,8.04101,5.86491,0,4.8222,47.2797,0,14.6345,2.47506,0,0,0.904462,0,5.35639,0,0
"MtrElec",1,1,3,"",128.292,0,31.9542,0,2.39286,0,0.163783,0,0.0288988,9.04626,8.04101,5.86491,0,3.807,44.8524,0,14.3404,0,0,0,0.678346,0,7.12201,0,0
"MtrElec",1,1,4,"",130.982,0,33.3798,0,2.9044,0,0.163783,0,0.064634,9.04626,8.04101,5.85735,0,4.3146,44.7245,0,13.9789,0,0,0,0.678346,0,7.82817,0,0
"MtrElec",1,1,5,"",128.46,0,34.5257,0,1.29229,0,0.163783,0,0.100279,9.04626,8.04101,5.84805,0,5.3298,42.5129,0,13.5352,0,0,0,0.678346,0,7.38629,0,0
"MtrElec",1,1,6,"",129.626,0,35.9753,0,0,0,0.163783,0,0.152991,9.04626,8.041,5.83947,0,7.8678,46.3646,0,13.4583,0,0,0,1.13058,0,1.58574,0,0
"MtrElec",1,1,7,"",239.187,0,37.0513,0,96.7688,0,0.163783,0,0.132739,9.04626,8.04099,5.82963,0,10.6596,52.2089,0,13.8042,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",212.342,0,34.008,0,44.5903,0,0.163783,0,0.115229,9.04626,8.04099,5.83486,0,10.4058,56.9195,0,14.9437,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",321.439,0,28.9171,0,121.015,0,0.163783,0,0.073982,9.04626,8.04101,5.84066,0,8.6292,53.744,0,16.8493,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",288.796,0,22.6956,0,58.0257,0,0.163783,0,0.0403092,9.04626,8.04105,0,0,7.3602,51.7744,0,16.5488,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",410.746,0,16.3875,0,109.698,0,0.163783,0,0.0031679,9.04626,8.04108,0,0,6.8526,52.8005,0,16.3081,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",361.526,0,12.5492,0,98.8418,0,0.163783,0,0.0135141,9.04626,8.0411,0,0,6.345,52.0002,0,16.6751,4.96314,130.077,10.3739,12.4363,0,0,0,0
"MtrElec",1,1,13,"",225.856,0,8.87289,0,2.8526,0,0.163783,0,0.00621486,9.04626,8.04111,0,0,5.3298,53.1487,0,17.021,10.9151,87.6841,8.52904,14.2453,0,0,0,0
"MtrElec",1,1,14,"",274.74,0,6.2776,0,84.5733,0,0.163783,0,0,9.04626,8.04119,0,0,5.3298,54.647,0,17.2379,0,72.0906,3.99134,13.3408,0,0,0,0
"MtrElec",1,1,15,"",151.578,0,5.14518,0,0,0,0.163783,0,0,9.04626,8.04127,0,0,5.3298,57.1222,0,17.0026,0,33.7363,1.97117,14.0191,0,0,0,0
"MtrElec",1,1,16,"",242.713,0,5.61243,0,97.4775,0,0.163783,0,0,9.04626,8.04117,0,0,6.5988,59.8622,0,17.3429,0,16.6611,6.53062,15.3758,0,0,0,0
"MtrElec",1,1,17,"",201.129,0,8.58311,0,0,0,0.163783,0,0,9.04626,8.04112,0,0,7.8678,66.6719,0,17.1057,0,55.1992,7.87351,20.5765,0,0,0,0
"MtrElec",1,1,18,"",346.663,0,12.719,0,101.92,0,0.163783,0,0,9.04626,8.04113,0,0,11.1672,74.336,0,18.0693,3.64801,66.5499,9.57232,31.43,0,0,0,0
"MtrElec",1,1,19,"",272.754,0,15.2572,0,0,0,0.163783,0,0,9.04626,8.04112,0,0,21.3192,79.8369,0,19.3095,5.70828,80.9088,3.99394,29.1689,0,0,0,0
"MtrElec",1,1,20,"",330.989,0,16.603,0,103.142,0,0.163783,0,0,9.04626,8.04111,0,0,29.6946,82.9684,0,18.9583,10.4467,33.7583,1.88629,16.2803,0,0,0,0
"MtrElec",1,1,21,"",302.304,0,16.4016,0,109.032,0,0.163783,0,0,9.04626,8.04111,0,0,28.6794,86.0232,0,18.4935,1.1769,15.9436,2.06695,7.23569,0,0,0,0
"MtrElec",1,1,22,"",189.266,0,16.1884,0,3.16317,0,0.163783,0,0,9.04626,8.04112,0,0,24.3648,85.0899,0,17.7464,1.2979,17.4706,3.52809,3.16561,0,0,0,0
"MtrElec",1,1,23,"",219.864,0,19.8016,0,36.9728,0,0.163783,0,0.0205861,9.04626,8.0411,0,0,15.9894,73.9478,0,16.4303,4.94855,29.8207,2.64597,2.03504,0,0,0,0
"MtrElec",1,1,24,"",217.331,0,24.5404,0,57.9162,0,0.163783,0,0.0568571,9.04626,8.04106,0,0,9.8982,62.7554,0,16.4676,4.95004,22.3647,0,1.13058,0,0,0,0
"MtrElec",1,2,1,"",130.29,0,28.5127,0,0,0,0.163783,0,0.0903572,9.04626,8.04104,5.85009,0,5.8374,51.197,0,14.8598,2.47455,0,0,1.13058,0,3.08638,0,0
"MtrElec",1,2,2,"",128.412,0,29.5863,0,0,0,0.163783,0,0.107652,9.04626,8.04104,5.84361,0,4.8222,46.7506,0,14.4345,1.69764,0,0,0.904462,0,7.01419,0,0
"MtrElec",1,2,3,"",124.837,0,30.3725,0,0,0,0.163783,0,0.123536,9.04626,8.04104,5.84107,0,3.807,44.988,0,13.9519,3.25256,0,0.385447,0.904462,0,3.95973,0,0
"MtrElec",1,2,4,"",130.166,0,32.7843,0,0,0,0.163783,0,0.162045,9.04626,8.04103,5.83817,0,4.3146,44.7238,0,13.7255,0,3.25794,0.496546,0.904462,0,6.70713,0,0
"MtrElec",1,2,5,"",130.229,0,33.1432,0,1.04551,0,0.163783,0,0.185459,9.04626,8.04103,5.83023,0,5.3298,42.6485,0,13.3593,0,4.19699,0,0.904462,0,6.33434,0,0
"MtrElec",1,2,6,"",132.373,0,30.6018,0,4.29741,0,0.163783,0,0.135771,9.04626,8.04104,5.82512,0,7.8678,46.6061,0,13.852,0,0,0,3.16561,0,2.76992,0,0
"MtrElec",1,2,7,"",239.064,0,28.3407,0,102.123,0,0.163783,0,0.0993959,9.04626,8.04104,5.83567,0,10.6596,54.526,0,15.4648,0,0,0.468189,4.29619,0,0,0,0
"MtrElec",1,2,8,"",290.466,0,28.3969,0,133.181,0,0.163783,0,0.131496,9.04626,8.04104,5.84325,0,10.4058,60.4814,0,16.874,2.58527,3.95731,5.70603,5.65288,0,0,0,0
"MtrElec",1,2,9,"",221.546,0,23.4965,0,26.8942,0,0.163783,0,0.171168,9.04626,8.04103,5.83657,0,8.6292,59.3392,0,16.4012,6.10072,48.2295,3.31761,5.879,0,0,0,0
"MtrElec",1,2,10,"",240.524,0,17.9627,0,71.8968,0,0.163783,0,0.172576,9.04626,8.04102,0,0,7.3602,58.8664,0,15.244,9.3224,28.0416,9.43204,4.97454,0,0,0,0
"MtrElec",1,2,11,"",310.616,0,16.1873,0,99.2073,0,0.163783,0,0.126457,9.04626,8.04112,0,0,6.8526,59.1677,0,14.8325,5.7197,79.7231,6.79933,4.74842,0,0,0,0
"MtrElec",1,2,12,"",181.066,0,13.1633,0,0,0,0.163783,0,0.109887,9.04626,8.04117,0,0,6.345,59.1677,0,14.9945,5.26854,57.4705,0.738297,6.55734,0,0,0,0
"MtrElec",1,2,13,"",223.208,0,12.9418,0,95.1827,0,0.163783,0,0.0970093,9.04626,8.04117,0,0,5.3298,59.2479,0,15.4091,3.18173,6.24036,0.412509,7.91404,0,0,0,0
"MtrElec",1,2,14,"",124.683,0,14.2636,0,1.0923,0,0.163783,0,0.132993,9.04626,8.04118,0,0,5.3298,60.3533,0,15.0675,0,3.48668,0.469537,7.23569,0,0,0,0
"MtrElec",1,2,15,"",141.241,0,15.6024,0,5.28195,0,0.163783,0,0.144887,9.04626,8.04117,5.83575,0,5.3298,62.172,0,15.2531,2.47465,3.9687,0.238764,7.68792,0,0,0,0
"MtrElec",1,2,16,"",240.518,0,17.0771,0,98.3027,0,0.163783,0,0.178337,9.04626,8.04117,5.83238,0,6.5988,63.7188,0,15.3753,0,2.01812,2.40773,11.758,0,0,0,0
"MtrElec",1,2,17,"",184.84,0,18.6832,0,0.830286,0,0.163783,0,0.185525,9.04626,8.04118,5.82374,0,7.8678,70.6647,0,15.7976,0.530617,20.3511,0.851233,26.0033,0,0,0,0
"MtrElec",1,2,18,"",311.616,0,20.6924,0,102.126,0,0.163783,0,0.169736,9.04626,8.04112,5.82163,0,11.1672,76.6157,0,17.2848,6.12925,7.19494,3.52304,43.6403,0,0,0,0
"MtrElec",1,2,19,"",242.9,0,21.5889,0,0,0,0.163783,0,0.0958673,9.04626,8.04111,5.82519,0,21.3192,81.4779,0,18.7061,3.64857,29.7781,2.50869,40.7008,0,0,0,0
"MtrElec",1,2,20,"",322.743,0,20.6862,0,90.5073,0,0.163783,0,0.0226122,9.04626,8.04107,5.84343,0,29.6946,85.7687,0,18.7333,4.19983,21.2043,6.67204,22.1593,0,0,0,0
"MtrElec",1,2,21,"",286.39,0,23.5161,0,23.5492,0,0.163783,0,0.0298696,9.04626,8.04102,5.86097,0,28.6794,88.9865,0,17.859,9.79747,56.3945,4.96868,9.49684,0,0,0,0
"MtrElec",1,2,22,"",344.294,0,27.0864,0,112.448,0,0.163783,0,0.044283,9.04626,8.04101,5.86007,0,24.3648,87.7289,0,17.0498,1.95897,41.9971,3.98203,4.52231,0,0,0,0
"MtrElec",1,2,23,"",208.069,0,34.3607,0,0,2.12642,0.163783,0,0.170254,9.04626,8.041,5.85634,0,15.9894,75.7196,0,15.966,0.958384,33.6576,3.29997,2.71338,0,0,0,0
"MtrElec",1,2,24,"",201.406,0,40.58,0,0,14.7672,0.163783,0,0.360028,9.04626,8.04099,5.82221,0,9.8982,63.8372,0,14.7214,2.47529,27.8926,1.53913,2.26115,0,0,0,0
"MtrElec",1,3,1,"",154.696,0,41.8999,0,1.67622,0,0.163783,0,0.437406,9.04626,8.041,5.77316,0,5.8374,51.3333,0,14.9205,0,13.0093,0,1.13058,0,1.42687,0,0
"MtrElec",1,3,2,"",165.773,0,42.5626,0,27.2616,0,0.163783,0,0.497588,9.04626,8.04101,5.75456,0,4.8222,47.2797,0,14.2371,0,0,0,0.904462,0,5.20177,0,0
"MtrElec",1,3,3,"",202.474,0,43.3111,0,64.2088,0,0.163783,0,0.544683,9.04626,8.04102,5.73834,0,3.807,44.8524,0,13.9669,2.93223,0,0,0.678346,0,5.1828,0,0
"MtrElec",1,3,4,"",142.122,0,44.9924,0,0,0,0.163783,0,0.596921,9.04626,8.04103,5.72419,0,4.3146,44.7245,0,13.6262,2.01875,0,4.41027,0.678346,0,3.78505,0,0
"MtrElec",1,3,5,"",177.213,0,49.1743,0,0,0,0.163783,0,0.75995,9.04626,8.04101,5.71231,0,5.3298,42.5129,0,13.1565,0,37.2773,0,0.678346,0,5.36078,0,0
"MtrElec",1,3,6,"",146.449,0,50.5314,0,0,0,0.163783,0,0.73843,9.04626,8.041,5.67651,0,7.8678,46.3646,0,13.0762,0,0,0,1.13058,0,3.81192,0,0
"MtrElec",1,3,7,"",153.891,0,47.1572,0,0,2.1187,0.163783,0,0.562804,9.04626,8.04101,5.68564,0,10.6596,52.3149,0,13.3612,0,0,1.76386,2.26115,0,0.754797,0,0
"MtrElec",1,3,8,"",287.339,0,47.165,0,101.47,11.0253,0.163783,0,0.690902,9.04626,8.04101,5.72319,0,10.4058,57.1022,0,14.5403,0,14.9088,0.951759,6.10511,0,0,0,0
"MtrElec",1,3,9,"",230.617,0,43.4976,0,55.0475,0,0.163783,0,0.734414,9.04626,8.04102,5.69954,0,8.6292,54.6987,0,16.5762,4.95078,8.04462,4.63415,10.8535,0,0,0,0
"MtrElec",1,3,10,"",299.268,0,36.1808,0,100.005,0,0.163783,0,0.615141,9.04626,8.04104,5.69732,0,7.3602,54.5556,0,16.1206,0,39.1696,11.4594,10.8535,0,0,0,0
"MtrElec",1,3,11,"",353.214,0,28.6295,0,108.605,0,0.163783,0,0.305618,9.04626,8.04107,5.72359,0,6.8526,55.5818,0,15.8339,2.55955,96.8591,4.61128,10.4013,0,0,0,0
"MtrElec",1,3,12,"",276.548,0,19.858,0,92.8744,0,0.163783,0,0.0650965,9.04626,8.04109,0,0,6.345,54.7814,0,16.1196,9.50289,38.9762,8.3376,12.4363,0,0,0,0
"MtrElec",1,3,13,"",302.641,0,15.3838,0,99.9924,0,0.163783,0,0.0243892,9.04626,8.04112,0,0,5.3298,53.2685,0,16.4163,6.01895,70.4725,4.23754,14.2453,0,0,0,0
"MtrElec",1,3,14,"",164.897,0,11.8134,0,0,0,0.163783,0,0.00048029,9.04626,8.04112,0,0,5.3298,54.7668,0,16.6241,1.7221,35.8172,8.2307,13.3408,0,0,0,0
"MtrElec",1,3,15,"",286.609,0,10.7176,0,88.1223,0,0.163783,0,0,9.04626,8.04113,0,0,5.3298,57.2419,0,16.3923,4.94981,69.5689,3.01641,14.0191,0,0,0,0
"MtrElec",1,3,16,"",156.801,0,10.4425,0,1.62873,0,0.163783,0,0,9.04626,8.04114,0,0,6.5988,59.9819,0,16.9022,0,25.4958,3.12436,15.3758,0,0,0,0
"MtrElec",1,3,17,"",238.207,0,11.3307,0,68.953,0,0.163783,0,0,9.04626,8.04112,0,0,7.8678,66.7916,0,16.4713,0,26.4082,2.55698,20.5765,0,0,0,0
"MtrElec",1,3,18,"",225.193,0,13.671,0,29.5922,0,0.163783,0,0,9.04626,8.04111,0,0,11.1672,74.551,0,17.4913,0,21.6125,8.42699,31.43,0,0,0,0
"MtrElec",1,3,19,"",379.015,0,15.4409,0,117.216,0,0.163783,0,0,9.04626,8.04112,0,0,21.3192,79.7447,0,18.9343,3.21988,71.228,5.49195,29.1689,0,0,0,0
"MtrElec",1,3,20,"",240.414,0,16.6138,0,0,0,0.163783,0,0,9.04626,8.04112,0,0,29.6946,82.7995,0,18.5637,9.15292,46.42,3.6382,16.2803,0,0,0,0
"MtrElec",1,3,21,"",313.582,0,18.2294,0,96.561,0,0.163783,0,0.000734084,9.04626,8.04112,0,0,28.6794,85.8542,0,18.0665,5.21615,30.7514,5.73584,7.23569,0,0,0,0
"MtrElec",1,3,22,"",226.965,0,20.0691,0,0,0,0.163783,0,0.0109309,9.04626,8.04112,0,0,24.3648,84.6139,0,17.3422,11.1458,48.4814,0.520187,3.16561,0,0,0,0
"MtrElec",1,3,23,"",277.77,0,24.1114,0,100.671,0,0.163783,0,0.0101482,9.04626,8.04109,5.86204,0,15.9894,75.606,0,15.8853,11.1045,4.39682,4.84706,2.03504,0,0,0,0
"MtrElec",1,3,24,"",190.588,0,33.8017,0,0,0,0.163783,0,0.112297,9.04626,8.04103,5.86273,0,9.8982,62.7554,0,16.128,2.23321,40.9691,0.445769,1.13058,0,0,0,0
"MtrElec",1,4,1,"",147.656,0,40.144,0,1.89232,0,0.163783,0,0.286299,9.04626,8.04104,5.84277,0,5.8374,51.3333,0,14.8424,0,3.7678,0,1.13058,0,5.3281,0,0
"MtrElec",1,4,2,"",146.441,0,43.5807,0,5.9027,0,0.163783,0,0.434577,9.04626,8.04104,5.79265,0,4.8222,47.2797,0,14.1559,0,0,0,0.904462,0,6.31672,0,0
"MtrElec",1,4,3,"",145.56,0,47.4088,0,1.66863,0,0.163783,0,0.682555,9.04626,8.04103,5.75121,0,3.807,44.8524,0,13.881,4.39834,0,0,0.678346,0,5.18073,0,0
"MtrElec",1,4,4,"",151.225,0,50.8561,0,0.205974,2.08217,0.163783,0,0.934987,9.04626,8.04102,5.69627,0,4.3146,44.7245,0,13.5326,3.02812,0,3.52822,0.678346,0,4.39234,0,0
"MtrElec",1,4,5,"",179.716,0,57.432,0,0,0,0.163783,0,1.43429,9.04626,8.04101,5.64476,0,5.3298,42.5129,0,13.0431,0,29.8218,0,0.678346,0,6.56804,0,0
"MtrElec",1,4,6,"",158.487,0,58.3096,0,0,0,0.163783,0,1.4669,9.04626,8.041,5.56064,0,7.8678,46.3646,0,12.9585,0,0,0,1.13058,0,7.57686,0,0
"MtrElec",1,4,7,"",263.542,0,55.7915,0,103.264,0,0.163783,0,1.25248,9.04626,8.04101,5.56041,0,10.6596,52.2089,0,13.2261,0,0,1.76386,2.26115,0,0.302749,0,0
