"MF88 Individual Supply + Central Exhaust (SZHP)  /  Proposed  /  EX01a_MF88_ISUP_CEXH_SZHP_CZ09.cibd25x",002
"Wed 23-Sep-26   1:25:49 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",188.782,0,21.0941,0,51.7916,0,0.163783,0,0,9.04626,7.70942,5.86459,0,5.8374,51.3333,0,15.3905,0,18.5615,0,1.13058,0,0.858895,0,0
"MtrElec",1,1,2,"",122.676,0,24.0266,0,0,0,0.163783,0,0,9.04626,7.70942,5.86459,0,4.8222,47.2797,0,14.6481,2.47506,0,0,0.904462,0,5.73558,0,0
"MtrElec",1,1,3,"",119.837,0,25.6678,0,0,0,0.163783,0,0.021177,9.04626,7.70942,5.86459,0,3.807,44.8524,0,14.3541,0,0,0,0.678346,0,7.67218,0,0
"MtrElec",1,1,4,"",122.333,0,27.355,0,0,0,0.163783,0,0.059802,9.04626,7.70941,5.85904,0,4.3146,44.7245,0,13.9927,0,0,0,0.678346,0,8.42914,0,0
"MtrElec",1,1,5,"",121.641,0,28.7569,0,0,0,0.163783,0,0.0886508,9.04626,7.70941,5.84895,0,5.3298,42.5129,0,13.551,0,0,0,0.678346,0,7.95507,0,0
"MtrElec",1,1,6,"",187.084,0,30.0694,0,63.5498,0,0.163783,0,0.136794,9.04626,7.7094,5.8418,0,7.8678,46.3646,0,13.4746,0,0,0,1.13058,0,1.72927,0,0
"MtrElec",1,1,7,"",169.145,0,31.1318,0,32.9643,0,0.163783,0,0.125466,9.04626,7.7094,5.83214,0,10.6596,52.2089,0,13.823,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",241.072,0,27.9342,0,79.7137,0,0.163783,0,0.108958,9.04626,7.7094,5.83578,0,10.4058,56.9195,0,14.9616,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",333.893,0,22.8944,0,139.815,0,0.163783,0,0.0700412,9.04626,7.70942,5.8414,0,8.6292,53.744,0,16.861,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",339.711,0,16.8258,0,115.128,0,0.163783,0,0.0382596,9.04626,7.70945,0,0,7.3602,51.7744,0,16.5643,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",319.893,0,10.5475,0,25.0038,0,0.163783,0,0.00241536,9.04626,7.70947,0,0,6.8526,52.8005,0,16.3217,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",390.193,0,7.23063,0,133.145,0,0.163783,0,0.0131334,9.04626,7.7095,0,0,6.345,52.0002,0,16.6885,4.96314,130.077,10.3739,12.4363,0,0,0,0
"MtrElec",1,1,13,"",291.067,0,3.70436,0,73.5505,0,0.163783,0,0.00599787,9.04626,7.70951,0,0,5.3298,53.1487,0,17.0342,10.9151,87.6841,8.52904,14.2453,0,0,0,0
"MtrElec",1,1,14,"",190.618,0,2.46556,0,4.58306,0,0.163783,0,0,9.04626,7.7096,0,0,5.3298,54.647,0,17.2506,0,72.0906,3.99134,13.3408,0,0,0,0
"MtrElec",1,1,15,"",202.715,0,1.9824,0,54.6188,0,0.163783,0,0,9.04626,7.7097,0,0,5.3298,57.1222,0,17.0153,0,33.7363,1.97117,14.0191,0,0,0,0
"MtrElec",1,1,16,"",180.156,0,2.45604,0,38.3999,0,0.163783,0,0,9.04626,7.70961,0,0,6.5988,59.8622,0,17.3524,0,16.6611,6.53062,15.3758,0,0,0,0
"MtrElec",1,1,17,"",235.693,0,4.01935,0,39.4458,0,0.163783,0,0,9.04626,7.70953,0,0,7.8678,66.6719,0,17.1191,0,55.1992,7.87351,20.5765,0,0,0,0
"MtrElec",1,1,18,"",298.3,0,6.50737,0,60.0877,0,0.163783,0,0,9.04626,7.70953,0,0,11.1672,74.336,0,18.0816,3.64801,66.5499,9.57232,31.43,0,0,0,0
"MtrElec",1,1,19,"",365.018,0,9.20338,0,98.6407,0,0.163783,0,0,9.04626,7.70953,0,0,21.3192,79.8369,0,19.3182,5.70828,80.9088,3.99394,29.1689,0,0,0,0
"MtrElec",1,1,20,"",289.2,0,10.3391,0,67.938,0,0.163783,0,0,9.04626,7.70953,0,0,29.6946,82.9684,0,18.9687,10.4467,33.7583,1.88629,16.2803,0,0,0,0
"MtrElec",1,1,21,"",269.251,0,10.4233,0,82.2771,0,0.163783,0,0,9.04626,7.70953,0,0,28.6794,86.0232,0,18.5057,1.1769,15.9436,2.06695,7.23569,0,0,0,0
"MtrElec",1,1,22,"",232.611,0,10.2777,0,52.7379,0,0.163783,0,0,9.04626,7.70953,0,0,24.3648,85.0899,0,17.7586,1.2979,17.4706,3.52809,3.16561,0,0,0,0
"MtrElec",1,1,23,"",175.725,0,12.9535,0,0,0,0.163783,0,0.0167755,9.04626,7.70948,0,0,15.9894,73.9478,0,16.4473,4.94855,29.8207,2.64597,2.03504,0,0,0,0
"MtrElec",1,1,24,"",208.165,0,18.0518,0,55.5621,0,0.163783,0,0.0544415,9.04626,7.70947,0,0,9.8982,62.7554,0,16.4784,4.95004,22.3647,0,1.13058,0,0,0,0
"MtrElec",1,2,1,"",123.912,0,22.2775,0,0,0,0.163783,0,0.0841593,9.04626,7.70945,5.85036,0,5.8374,51.197,0,14.8761,2.47455,0,0,1.13058,0,3.2652,0,0
"MtrElec",1,2,2,"",122.454,0,23.4044,0,0,0,0.163783,0,0.103638,9.04626,7.70944,5.8443,0,4.8222,46.7506,0,14.4484,1.69764,0,0,0.904462,0,7.55902,0,0
"MtrElec",1,2,3,"",119.728,0,24.4938,0,0.781739,0,0.163783,0,0.120313,9.04626,7.70945,5.84143,0,3.807,44.988,0,13.966,3.25256,0,0.385447,0.904462,0,4.26726,0,0
"MtrElec",1,2,4,"",126.773,0,27.0017,0,2.19415,0,0.163783,0,0.15382,9.04626,7.70944,5.83838,0,4.3146,44.7238,0,13.7392,0,3.25794,0.496546,0.904462,0,7.22881,0,0
"MtrElec",1,2,5,"",127.875,0,27.279,0,4.3834,0,0.163783,0,0.177006,9.04626,7.70944,5.83155,0,5.3298,42.6485,0,13.3745,0,4.19699,0,0.904462,0,6.82988,0,0
"MtrElec",1,2,6,"",171.019,0,24.7295,0,48.9958,0,0.163783,0,0.130311,9.04626,7.70945,5.82666,0,7.8678,46.6061,0,13.87,0,0,0,3.16561,0,2.90716,0,0
"MtrElec",1,2,7,"",202.961,0,22.47,0,72.2107,0,0.163783,0,0.0953383,9.04626,7.70945,5.83643,0,10.6596,54.526,0,15.4796,0,0,0.468189,4.29619,0,0,0,0
"MtrElec",1,2,8,"",279.129,0,22.3328,0,128.232,0,0.163783,0,0.126372,9.04626,7.70944,5.84371,0,10.4058,60.4814,0,16.8852,2.58527,3.95731,5.70603,5.65288,0,0,0,0
"MtrElec",1,2,9,"",269.627,0,18.0191,0,80.7804,0,0.163783,0,0.161361,9.04626,7.70949,5.83736,0,8.6292,59.3392,0,16.4136,6.10072,48.2295,3.31761,5.879,0,0,0,0
"MtrElec",1,2,10,"",246.243,0,12.594,0,83.307,0,0.163783,0,0.165572,9.04626,7.70952,0,0,7.3602,58.8664,0,15.2594,9.3224,28.0416,9.43204,4.97454,0,0,0,0
"MtrElec",1,2,11,"",307.56,0,10.8561,0,101.804,0,0.163783,0,0.121968,9.04626,7.70953,0,0,6.8526,59.1677,0,14.8477,5.7197,79.7231,6.79933,4.74842,0,0,0,0
