"MF88 Central Supply + Individual Exhaust (SZHP)  /  Standard  /  EX01b_MF88_CSUP_IEXH_SZHP_CZ09.cibd25x",003
"Wed 23-Sep-26   1:31:44 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",173.363,0,7.35053,0.128209,44.1299,0,0.163783,0,0,10.967,11.3727,6.09847,0,5.8374,51.3333,0,15.435,0,18.5615,0,1.13058,0,0.854092,0,0
"MtrElec",1,1,2,"",115.38,0,8.25255,0,3.02779,0,0.163783,0,0,10.967,11.3727,6.08753,0,4.8222,47.2797,0,14.6886,2.47506,0,0,0.904462,0,5.33906,0,0
"MtrElec",1,1,3,"",110.7,0,8.70534,0.141453,2.39638,0,0.163783,0,0.00371342,10.967,11.3727,6.08753,0,3.807,44.8524,0,14.3941,0,0,0,0.678346,0,7.12976,0,0
"MtrElec",1,1,4,"",113.553,0,9.48224,0.90808,2.95237,0,0.163783,0,0.0418671,10.967,11.3727,6.08656,0,4.3146,44.7245,0,14.0319,0,0,0,0.678346,0,7.82861,0,0
"MtrElec",1,1,5,"",110.642,0,9.99239,1.1434,1.35088,0,0.163783,0,0.0662036,10.967,11.3727,6.07661,0,5.3298,42.5129,0,13.595,0,0,0,0.678346,0,7.39345,0,0
"MtrElec",1,1,6,"",134.062,0,10.5448,1.50263,22.8354,0,0.163783,0,0.0887866,10.967,11.3727,6.07028,0,7.8678,46.3646,0,13.5199,0,0,0,1.13058,0,1.63376,0,0
"MtrElec",1,1,7,"",205.822,0,11.0385,1.92861,81.9641,0,0.163783,0,0.098204,10.967,11.3727,6.06477,0,10.6596,52.2089,0,13.8756,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",233.613,0,10.1225,1.63785,82.5875,0,0.163783,0,0.0887784,10.967,11.3727,6.06346,0,10.4058,56.9195,0,15.0111,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",266.986,0,8.25346,0.329607,81.3902,0,0.163783,0,0.0568781,10.967,11.3727,6.06803,0,8.6292,53.744,0,16.8931,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",301.634,0,6.22198,0,81.9241,0,0.163783,0,0.0307145,10.967,11.3727,0.11137,0,7.3602,51.7744,0,16.6081,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",379.142,0,4.21802,0,84.9591,0,0.163783,0,0,10.967,11.3727,0,0,6.8526,52.8005,0,16.3637,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",344.54,0,3.12413,0,85.9744,0,0.163783,0,0.00988858,10.967,11.3729,0,0,6.345,52.0002,0,16.733,4.96314,130.077,10.3739,12.4363,0,0,0,0
"MtrElec",1,1,13,"",307.28,0,2.15817,0,85.6818,0,0.163783,0,0.00334012,10.967,11.373,0,0,5.3298,53.1487,0,17.0809,10.9151,87.6841,8.52904,14.2453,0,0,0,0
"MtrElec",1,1,14,"",191.526,0,1.46204,0,0.862238,0,0.163783,0,0,10.967,11.3734,0,0,5.3298,54.647,0,17.2975,0,72.0906,3.99134,13.3408,0,0,0,0
"MtrElec",1,1,15,"",211.161,0,1.14711,0,58.2666,0,0.163783,0,0,10.967,11.3734,0,0,5.3298,57.1222,0,17.0644,0,33.7363,1.97117,14.0191,0,0,0,0
