"MF88 Central Supply + Individual Exhaust (SZHP)  /  Standard (PV-Batt only)  /  EX01b_MF88_CSUP_IEXH_SZHP_CZ09.cibd25x",001
"Wed 23-Sep-26   1:33:12 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",232.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.082,0,0,0
"MtrElec",1,1,2,"",175.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.081,0,0,0
"MtrElec",1,1,3,"",169.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.434,0,0,0
"MtrElec",1,1,4,"",172.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.263,0,0,0
"MtrElec",1,1,5,"",170.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.309,0,0,0
"MtrElec",1,1,6,"",192.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.767,0,0,0
"MtrElec",1,1,7,"",264.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.534,0,0,0
"MtrElec",1,1,8,"",196.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.97,0,0,-98.6962
"MtrElec",1,1,9,"",40.4938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340.06,0,0,-299.566
"MtrElec",1,1,10,"",-86.0193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373.776,0,0,-459.795
"MtrElec",1,1,11,"",0.0000078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492.365,0,67.5562,-559.921
"MtrElec",1,1,12,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.452,0,138.895,-597.347
"MtrElec",1,1,13,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.008,0,136.883,-580.891
"MtrElec",1,1,14,"",0.0000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.172,0,28.0737,-356.245
"MtrElec",1,1,15,"",55.5208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.615,0,0,-292.094
"MtrElec",1,1,16,"",116.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295.44,0,0,-178.684
"MtrElec",1,1,17,"",366.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.773,0,0,-21.7079
