"MF88 Central Supply + Individual Exhaust (SZHP)  /  Proposed (PV-Batt only)  /  EX01b_MF88_CSUP_IEXH_SZHP_CZ09.cibd25x",001
"Wed 23-Sep-26   1:33:12 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",240.213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.213,0,0,0
"MtrElec",1,1,2,"",173.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.256,0,0,0
"MtrElec",1,1,3,"",168.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.526,0,0,0
"MtrElec",1,1,4,"",170.704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.704,0,0,0
"MtrElec",1,1,5,"",170.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.577,0,0,0
"MtrElec",1,1,6,"",234.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.539,0,0,0
"MtrElec",1,1,7,"",216.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.536,0,0,0
"MtrElec",1,1,8,"",194.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292.748,0,0,-98.7123
"MtrElec",1,1,9,"",110.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409.982,0,0,-299.615
"MtrElec",1,1,10,"",-40.8151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419.055,0,0,-459.87
"MtrElec",1,1,11,"",0.0000078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443.152,0,116.861,-560.012
"MtrElec",1,1,12,"",0.0000078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516.67,0,80.7744,-597.444
"MtrElec",1,1,13,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.961,0,139.025,-580.986
"MtrElec",1,1,14,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.255,0,14.0488,-356.303
"MtrElec",1,1,15,"",63.3519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.494,0,0,-292.142
"MtrElec",1,1,16,"",152.669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331.382,0,0,-178.713
"MtrElec",1,1,17,"",367.484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389.195,0,0,-21.7115
"MtrElec",1,1,18,"",428.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.606,0,0,0
"MtrElec",1,1,19,"",243.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.579,0,-223.222,0
"MtrElec",1,1,20,"",264.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357.831,0,-93.2928,0
"MtrElec",1,1,21,"",336.551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.551,0,0,0
"MtrElec",1,1,22,"",297.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.486,0,0,0
"MtrElec",1,1,23,"",234.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.67,0,0,0
"MtrElec",1,1,24,"",262.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.156,0,0,0
"MtrElec",1,2,1,"",174.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.935,0,0,0
"MtrElec",1,2,2,"",172.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.964,0,0,0
"MtrElec",1,2,3,"",169.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.771,0,0,0
"MtrElec",1,2,4,"",174.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.317,0,0,0
"MtrElec",1,2,5,"",176.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.257,0,0,0
"MtrElec",1,2,6,"",220.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.17,0,0,0
"MtrElec",1,2,7,"",276.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.181,0,0,0
"MtrElec",1,2,8,"",371.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373.114,0,0,-2.07896
"MtrElec",1,2,9,"",355.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404.328,0,0,-49.219
"MtrElec",1,2,10,"",381.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.335,0,0,-52.2267
