"MF88 Central Supply + Individual Exhaust (SZHP)  /  Proposed-x  /  EX01b_MF88_CSUP_IEXH_SZHP_CZ09.cibd25x",003
"Wed 23-Sep-26   1:29:57 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",146.362,0,28.0321,0,0.114899,0,0.163783,0,0,10.967,8.0413,5.86519,0,5.8374,51.3333,0,15.4046,0,18.5615,0,1.13058,0,0.910364,0,0
"MtrElec",1,1,2,"",224.771,0,30.5016,0,93.7333,0,0.163783,0,0,10.967,8.0413,5.86519,0,4.8222,47.2797,0,14.6608,2.47506,0,0,0.904462,0,5.35639,0,0
"MtrElec",1,1,3,"",130.004,0,31.7354,0,2.39285,0,0.163783,0,0.0123736,10.967,8.0413,5.86519,0,3.807,44.8524,0,14.3665,0,0,0,0.678346,0,7.12201,0,0
"MtrElec",1,1,4,"",132.731,0,33.1887,0,2.9044,0,0.163783,0,0.0538587,10.967,8.0413,5.86195,0,4.3146,44.7245,0,14.0047,0,0,0,0.678346,0,7.82817,0,0
"MtrElec",1,1,5,"",130.114,0,34.2512,0,1.29229,0,0.163783,0,0.075118,10.967,8.04129,5.85116,0,5.3298,42.5129,0,13.5643,0,0,0,0.678346,0,7.38629,0,0
"MtrElec",1,1,6,"",131.232,0,35.6622,0,0,0,0.163783,0,0.11559,10.967,8.04129,5.84567,0,7.8678,46.3646,0,13.4882,0,0,0,1.13058,0,1.58574,0,0
"MtrElec",1,1,7,"",240.926,0,36.8446,0,96.7688,0,0.163783,0,0.115745,10.967,8.04128,5.83679,0,10.6596,52.2089,0,13.8388,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",214.095,0,33.818,0,44.5903,0,0.163783,0,0.101138,10.967,8.04128,5.83817,0,10.4058,56.9195,0,14.9764,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",323.208,0,28.7499,0,121.015,0,0.163783,0,0.0647922,10.967,8.0413,5.84349,0,8.6292,53.744,0,16.8706,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",290.608,0,22.5627,0,58.0257,0,0.163783,0,0.0350435,10.967,8.04134,0,0,7.3602,51.7744,0,16.5777,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",412.582,0,16.2779,0,109.698,0,0.163783,0,0.00104804,10.967,8.04137,0,0,6.8526,52.8005,0,16.3352,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",363.374,0,12.4493,0,98.8418,0,0.163783,0,0.0117635,10.967,8.04139,0,0,6.345,52.0002,0,16.7034,4.96314,130.077,10.3739,12.4363,0,0,0,0
"MtrElec",1,1,13,"",227.729,0,8.79698,0,2.8526,0,0.163783,0,0.00467734,10.967,8.0414,0,0,5.3298,53.1487,0,17.0503,10.9151,87.6841,8.52904,14.2453,0,0,0,0
"MtrElec",1,1,14,"",276.638,0,6.22566,0,84.5733,0,0.163783,0,0,10.967,8.04146,0,0,5.3298,54.647,0,17.267,0,72.0906,3.99134,13.3408,0,0,0,0
"MtrElec",1,1,15,"",153.478,0,5.09445,0,0,0,0.163783,0,0,10.967,8.04156,0,0,5.3298,57.1222,0,17.0329,0,33.7363,1.97117,14.0191,0,0,0,0
"MtrElec",1,1,16,"",244.606,0,5.56146,0,97.4775,0,0.163783,0,0,10.967,8.04146,0,0,6.5988,59.8622,0,17.3661,0,16.6611,6.53062,15.3758,0,0,0,0
"MtrElec",1,1,17,"",203.031,0,8.53141,0,0,0,0.163783,0,0,10.967,8.04141,0,0,7.8678,66.6719,0,17.1386,0,55.1992,7.87351,20.5765,0,0,0,0
"MtrElec",1,1,18,"",348.562,0,12.667,0,101.92,0,0.163783,0,0,10.967,8.04142,0,0,11.1672,74.336,0,18.0995,3.64801,66.5499,9.57232,31.43,0,0,0,0
"MtrElec",1,1,19,"",274.632,0,15.1943,0,0,0,0.163783,0,0,10.967,8.04141,0,0,21.3192,79.8369,0,19.3298,5.70828,80.9088,3.99394,29.1689,0,0,0,0
"MtrElec",1,1,20,"",332.868,0,16.5381,0,103.142,0,0.163783,0,0,10.967,8.0414,0,0,29.6946,82.9684,0,18.981,10.4467,33.7583,1.88629,16.2803,0,0,0,0
