"MF8  Individual Supply + Individual Exhaust (SZHP)  /  Proposed  /  EX01c_MF08_ISUP_IEXH_SZHP_CZ09.cibd25x",001
"Wed 23-Sep-26   1:33:22 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",15.1544,0,0,0,1.71894,0,0,0,0,1.00916,0,0.24255,0,0.537112,4.64792,0,1.34325,0,5.55219,0,0.103269,0,0,0,0
"MtrElec",1,1,2,"",8.51905,0,0,0,1.1842,0,0,0,0,1.00916,0,0.24255,0,0.443701,4.27654,0,1.28029,0,0,0,0.082615,0,0,0,0
"MtrElec",1,1,3,"",8.28632,0,0,0,1.31552,0,0,0,0,1.00916,0,0.24255,0,0.35029,4.05412,0,1.25272,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,4,"",8.65242,0,0,0,1.67997,0,0,0,0,1.00916,0,0.24255,0,0.396996,4.04258,0,1.2192,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,5,"",7.41273,0,0,0,0.598951,0,0,0,0,1.00916,0,0.24255,0,0.490407,3.83942,0,1.17028,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,6,"",9.12935,0,0,0,1.72971,0,0,0,0,1.00916,0,0.24255,0,0.723934,4.16041,0,1.16032,0,0,0,0.103269,0,0,0,0
"MtrElec",1,1,7,"",24.0103,0,0,0,1.64111,12.659,0,0,0,1.00916,0,0.24255,0,0.980813,4.67234,0,1.1796,0,0,0.654821,0.206538,0,0.764373,0,0
"MtrElec",1,1,8,"",18.8849,0,0,0,1.51124,6.04486,0,0,0,1.00916,0,0.24255,0,0.957461,5.01958,0,1.28733,0,5.53479,1.74196,0.557651,0,0.490156,0,-5.51185
"MtrElec",1,1,9,"",11.1806,0,0,0,3.43704,0,0,0,0,1.00916,0,0.24255,0,0.793992,4.71994,0,1.48758,0,14.7237,0.249339,0.99138,0,0.255666,0,-16.7297
"MtrElec",1,1,10,"",-2.84141,0,0,0,5.77439,0,0,0,0,1.00916,0,0,0,0.677228,4.53847,0,1.4415,1.00827,2.1075,5.28873,0.99138,0,0,0,-25.678
"MtrElec",1,1,11,"",35.4341,0,0,0,9.22978,0,0,0,0,1.00916,0,0,0,0.630523,4.61538,0,1.42489,1.4659,44.7023,2.64576,0.950073,0,0.030057,0,-31.2697
"MtrElec",1,1,12,"",3.80194,0,0,0,6.05083,0,0,0,0,1.00916,0,0,0,0.583817,4.54226,0,1.4617,0,22.3629,0,1.13596,0,0.0151327,0,-33.3598
"MtrElec",1,1,13,"",-18.7961,0,0,0,4.84899,0,0,0,0,1.00916,0,0,0,0.490407,4.501,0,1.49401,0,0,0,1.30119,0,0,0,-32.4408
"MtrElec",1,1,14,"",-9.88305,0,0,0,1.14169,0,0,0,0,1.00916,0,0,0,0.490407,4.63842,0,1.51383,0,0,0,1.21857,0,0,0,-19.8951
"MtrElec",1,1,15,"",-7.17647,0,0,0,0,0,0,0,0,1.00916,0,0,0,0.490407,4.86538,0,1.49055,0,0,0,1.28053,0,0,0,-16.3125
"MtrElec",1,1,16,"",-0.305142,0,0,0,0,0,0,0,0,1.00916,0,0,0,0.60717,5.1168,0,1.53618,0,0,0,1.40446,0,0,0,-9.9789
"MtrElec",1,1,17,"",9.81486,0,0,0,0.177444,0,0,0,0,1.00916,0,0,0,0.723934,5.74202,0,1.49513,0,0,0,1.87949,0,0,0,-1.21231
"MtrElec",1,1,18,"",14.5211,0,0,0,1.55144,0,0,0,0,1.00916,0,0,0,1.02752,6.47423,0,1.58786,0,0,0,2.87087,0,0,0,0
"MtrElec",1,1,19,"",17.1043,0,0,0,2.79156,0,0,0,0,1.00916,0,0,0,1.96163,6.95786,0,1.71978,0,0,0,2.66433,0,0,0,0
"MtrElec",1,1,20,"",19.925,0,0,0,3.30588,0,0,0,0,1.00916,0,0,0,2.73227,7.23308,0,1.68199,2.47561,0,0,1.48707,0,0,0,0
"MtrElec",1,1,21,"",19.6405,0,0,0,5.31178,0,0,0,0,1.00916,0,0,0,2.63885,7.49676,0,1.63349,0,0,0.882255,0.66092,0,0.00729589,0,0
"MtrElec",1,1,22,"",24.5059,0,0,0,4.51001,0,0,0,0,1.00916,0,0,0,2.24186,7.42686,0,1.56757,0,7.45715,0,0.289153,0,0.00410921,0,0
"MtrElec",1,1,23,"",16.8542,0,0,0,6.11906,0,0,0,0,1.00916,0,0,0,1.47122,6.63975,0,1.42914,0,0,0,0.185884,0,0,0,0
"MtrElec",1,1,24,"",13.5639,0,0,0,4.42064,0,0,0,0,1.00916,0,0,0,0.910755,5.66234,0,1.4577,0,0,0,0.103269,0,0,0,0
"MtrElec",1,2,1,"",8.26926,0,0,0,0.454663,0,0,0,0,1.00916,0,0.24255,0,0.537112,4.63532,0,1.28719,0,0,0,0.103269,0,0,0,0
"MtrElec",1,2,2,"",7.26365,0,0,0,0,0,0,0,0,1.00916,0,0.24255,0,0.443701,4.22793,0,1.25769,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,3,"",6.9634,0,0,0,0,0,0,0,0,1.00916,0,0.24255,0,0.35029,4.06638,0,1.21241,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,4,"",6.9663,0,0,0,0,0,0,0,0,1.00916,0,0.24255,0,0.396996,4.04224,0,1.19274,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,5,"",6.82879,0,0,0,0,0,0,0,0,1.00916,0,0.24255,0,0.490407,3.85168,0,1.15239,0,0,0,0.082615,0,0,0,0
