"MF88 Individual Supply + Individual Exhaust (SZHP)  /  Standard  /  EX01c_MF88_ISUP_IEXH_SZHP_CZ09.cibd25x",003
"Wed 23-Sep-26   1:35:53 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",172.227,0,7.63492,0.132026,44.1299,0,0.163783,0,0,9.70956,11.3552,6.08885,0,5.8374,51.3333,0,15.2956,0,18.5615,0,1.13058,0,0.854092,0,0
"MtrElec",1,1,2,"",114.351,0,8.60394,0,3.0278,0,0.163783,0,0.0228772,9.70956,11.3552,6.08612,0,4.8222,47.2797,0,14.5614,2.47506,0,0,0.904462,0,5.33906,0,0
"MtrElec",1,1,3,"",110.001,0,9.36211,0.120851,2.39642,0,0.163783,0,0.0774875,9.70956,11.3552,6.08007,0,3.807,44.8524,0,14.2681,0,0,0,0.678346,0,7.12976,0,0
"MtrElec",1,1,4,"",113.181,0,10.3756,0.923692,2.98151,0,0.163783,0,0.151608,9.70956,11.3552,6.06611,0,4.3146,44.7245,0,13.9078,0,0,0,0.678346,0,7.82861,0,0
"MtrElec",1,1,5,"",110.408,0,11.0729,1.15827,1.32156,0,0.163783,0,0.206668,9.70956,11.3552,6.05061,0,5.3298,42.5129,0,13.4552,0,0,0,0.678346,0,7.39345,0,0
"MtrElec",1,1,6,"",133.84,0,11.6127,1.52171,22.8354,0,0.163783,0,0.228258,9.70956,11.3552,6.04022,0,7.8678,46.3646,0,13.3765,0,0,0,1.13058,0,1.63376,0,0
"MtrElec",1,1,7,"",205.176,0,11.7533,1.95174,81.9641,0,0.163783,0,0.185295,9.70956,11.3552,6.03595,0,10.6596,52.2089,0,13.7086,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",232.841,0,10.7134,1.65666,82.5875,0,0.163783,0,0.157603,9.70956,11.3552,6.0457,0,10.4058,56.9195,0,14.8528,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",266.158,0,8.75805,0.334901,81.3902,0,0.163783,0,0.111891,9.70956,11.3552,6.053,0,8.6292,53.744,0,16.7904,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",300.613,0,6.58185,0,81.9241,0,0.163783,0,0.0632728,9.70956,11.3552,0.11137,0,7.3602,51.7744,0,16.469,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",377.97,0,4.43903,0,84.9592,0,0.163783,0,0.0123682,9.70956,11.3552,0,0,6.8526,52.8005,0,16.2329,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",343.331,0,3.31772,0,85.9744,0,0.163783,0,0.0179661,9.70956,11.3554,0,0,6.345,52.0002,0,16.5968,4.96314,130.077,10.3739,12.4363,0,0,0,0
"MtrElec",1,1,13,"",306.004,0,2.29143,0,85.6818,0,0.163783,0,0.0101713,9.70956,11.3557,0,0,5.3298,53.1487,0,16.9395,10.9151,87.6841,8.52904,14.2453,0,0,0,0
"MtrElec",1,1,14,"",190.185,0,1.53767,0,0.862272,0,0.163783,0,0,9.70956,11.3559,0,0,5.3298,54.647,0,17.1566,0,72.0906,3.99134,13.3408,0,0,0,0
"MtrElec",1,1,15,"",209.791,0,1.19848,0,58.2666,0,0.163783,0,0,9.70956,11.3558,0,0,5.3298,57.1222,0,16.9182,0,33.7363,1.97117,14.0191,0,0,0,0
"MtrElec",1,1,16,"",157.237,0,1.35955,0,12.3418,0,0.163783,0,0,9.70956,11.3559,0,0,6.5988,59.8622,0,17.2781,0,16.6611,6.53062,15.3758,0,0,0,0
"MtrElec",1,1,17,"",249.204,0,2.21781,0,50.5553,0,0.163783,0,0,9.70956,11.3554,0,0,7.8678,66.6719,0,17.0136,0,55.1992,7.87351,20.5765,0,0,0,0
"MtrElec",1,1,18,"",318.994,0,3.47131,0,79.6055,0,0.163783,0,0,9.70956,11.3552,0,0,11.1672,74.336,0,17.985,3.64801,66.5499,9.57232,31.43,0,0,0,0
"MtrElec",1,1,19,"",349.165,0,4.19974,0,83.4939,0,0.163783,0,0,9.70956,11.3552,0.0538959,0,21.3192,79.8369,0,19.2527,5.70828,80.9088,3.99394,29.1689,0,0,0,0
"MtrElec",1,1,20,"",277.458,0,4.49085,0,57.4918,0,0.163783,0,0,9.70956,11.3552,0.317708,0,29.6946,82.9684,0,18.895,10.4467,33.7583,1.88629,16.2803,0,0,0,0
"MtrElec",1,1,21,"",228.493,0,4.47106,0,42.9575,0,0.163783,0,0,9.70956,11.3552,0.289372,0,28.6794,86.0232,0,18.4211,1.1769,15.9436,2.06695,7.23569,0,0,0,0
"MtrElec",1,1,22,"",264.262,0,4.5064,0,85.9215,0,0.163783,0,0.0131349,9.70956,11.3552,0,0,24.3648,85.0899,0,17.6758,1.2979,17.4706,3.52809,3.16561,0,0,0,0
"MtrElec",1,1,23,"",200.908,0,5.7272,0,28.1379,0,0.163783,0,0.0448702,9.70956,11.3552,0.0482287,0,15.9894,73.9478,0,16.3339,4.94855,29.8207,2.64597,2.03504,0,0,0,0
"MtrElec",1,1,24,"",146.144,0,7.05158,0,0,0,0.163783,0,0.0908063,9.70956,11.3552,0.266625,0,9.8982,62.7554,0,16.4073,4.95004,22.3647,0,1.13058,0,0,0,0
"MtrElec",1,2,1,"",114.4,0,8.45947,0,0,0,0.163783,0,0.131279,9.70956,11.3552,6.06468,0,5.8374,51.197,0,14.7689,2.47455,0,0,1.13058,0,3.10721,0,0
"MtrElec",1,2,2,"",111.935,0,8.94289,0,0,0,0.163783,0,0.147693,9.70956,11.3552,6.05747,0,4.8222,46.7506,0,14.357,1.69764,0,0,0.904462,0,7.02662,0,0
"MtrElec",1,2,3,"",154.84,0,9.37793,0,46.8987,0,0.163783,0,0.177595,9.70956,11.3552,6.05426,0,3.807,44.988,0,13.8735,3.25256,0,0.385447,0.904462,0,3.89215,0,0
"MtrElec",1,2,4,"",111.963,0,10.4224,0,0,0,0.163783,0,0.236948,9.70956,11.3552,6.04784,0,4.3146,44.7238,0,13.6492,0,3.25794,0.496546,0.904462,0,6.6809,0,0
"MtrElec",1,2,5,"",111.877,0,10.649,0,1.0451,0,0.163783,0,0.261282,9.70956,11.3552,6.03249,0,5.3298,42.6485,0,13.2755,0,4.19699,0,0.904462,0,6.30527,0,0
"MtrElec",1,2,6,"",115.281,0,9.52035,0,4.21274,0,0.163783,0,0.192689,9.70956,11.3552,6.0253,0,7.8678,46.6061,0,13.753,0,0,0,3.16561,0,2.7092,0,0
