"MF88 Individual Supply + Individual Exhaust (SZHP)  /  Standard (PV-Batt only)  /  EX01c_MF88_ISUP_IEXH_SZHP_CZ09.cibd25x",001
"Wed 23-Sep-26   1:37:22 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",230.947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.947,0,0,0
"MtrElec",1,1,2,"",174.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.052,0,0,0
"MtrElec",1,1,3,"",168.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.736,0,0,0
"MtrElec",1,1,4,"",171.892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.892,0,0,0
"MtrElec",1,1,5,"",170.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.075,0,0,0
"MtrElec",1,1,6,"",192.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.546,0,0,0
"MtrElec",1,1,7,"",263.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.888,0,0,0
"MtrElec",1,1,8,"",195.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.198,0,0,-98.6962
"MtrElec",1,1,9,"",39.6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.232,0,0,-299.566
"MtrElec",1,1,10,"",-87.0429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372.752,0,0,-459.795
"MtrElec",1,1,11,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491.195,0,68.7265,-559.921
