"MF88 Individual Supply + Individual Exhaust (SZHP)  /  Proposed  /  EX01c_MF88_ISUP_IEXH_SZHP_CZ09.cibd25x",002
"Wed 23-Sep-26   1:35:51 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",172.164,0,5.20564,0.099465,51.7915,0,0.163783,0,0,4.87306,10.8877,6.11022,0,5.8374,51.3333,0,15.3113,0,18.5615,0,1.13058,0,0.858846,0,0
"MtrElec",1,1,2,"",104.259,0,6.43766,0,0,0,0.163783,0,0.0187621,4.87306,10.8877,6.08568,0,4.8222,47.2797,0,14.5758,2.47506,0,0,0.904462,0,5.73555,0,0
"MtrElec",1,1,3,"",100.812,0,7.32922,0.118669,0,0,0.163783,0,0.066287,4.87306,10.8877,6.08072,0,3.807,44.8524,0,14.2826,0,0,0,0.678346,0,7.67216,0,0
"MtrElec",1,1,4,"",103.37,0,8.39688,0.775953,0,0,0.163783,0,0.13569,4.87306,10.8877,6.06836,0,4.3146,44.7245,0,13.9223,0,0,0,0.678346,0,8.42912,0,0
"MtrElec",1,1,5,"",102.324,0,9.21063,0.992455,0,0,0.163783,0,0.195637,4.87306,10.8877,6.0531,0,5.3298,42.5129,0,13.4717,0,0,0,0.678346,0,7.95505,0,0
"MtrElec",1,1,6,"",167.253,0,9.7291,1.3029,63.5498,0,0.163783,0,0.219497,4.87306,10.8877,6.04186,0,7.8678,46.3646,0,13.3936,0,0,0,1.13058,0,1.72925,0,0
"MtrElec",1,1,7,"",148.727,0,9.85522,1.69263,32.9641,0,0.163783,0,0.176215,4.87306,10.8877,6.03715,0,10.6596,52.2089,0,13.7285,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",222.438,0,8.75109,1.38283,79.7136,0,0.163783,0,0.148218,4.87306,10.8877,6.04713,0,10.4058,56.9195,0,14.8717,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",317.347,0,6.88235,0.270204,139.815,0,0.163783,0,0.10602,4.87306,10.8877,6.05475,0,8.6292,53.744,0,16.8027,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",326.79,0,4.83916,0,115.128,0,0.163783,0,0.0598034,4.87306,10.8877,0.118127,0,7.3602,51.7744,0,16.4852,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",311.076,0,2.79205,0,25.0037,0,0.163783,0,0.0106747,4.87306,10.8877,0,0,6.8526,52.8005,0,16.2472,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",383.722,0,1.82772,0,133.145,0,0.163783,0,0.0177603,4.87306,10.888,0,0,6.345,52.0002,0,16.6109,4.96314,130.077,10.3739,12.4363,0,0,0,0
"MtrElec",1,1,13,"",287.18,0,0.888295,0,73.5505,0,0.163783,0,0.0101037,4.87306,10.8883,0,0,5.3298,53.1487,0,16.9535,10.9151,87.6841,8.52904,14.2453,0,0,0,0
"MtrElec",1,1,14,"",187.625,0,0.5475,0,4.58305,0,0.163783,0,0,4.87306,10.8884,0,0,5.3298,54.647,0,17.17,0,72.0906,3.99134,13.3408,0,0,0,0
"MtrElec",1,1,15,"",200.049,0,0.394997,0,54.6187,0,0.163783,0,0,4.87306,10.8883,0,0,5.3298,57.1222,0,16.9316,0,33.7363,1.97117,14.0191,0,0,0,0
"MtrElec",1,1,16,"",177.173,0,0.531359,0,38.3999,0,0.163783,0,0,4.87306,10.8884,0,0,6.5988,59.8622,0,17.2882,0,16.6611,6.53062,15.3758,0,0,0,0
"MtrElec",1,1,17,"",231.582,0,0.994876,0,39.4458,0,0.163783,0,0,4.87306,10.8879,0,0,7.8678,66.6719,0,17.0279,0,55.1992,7.87351,20.5765,0,0,0,0
"MtrElec",1,1,18,"",292.314,0,1.60006,0,60.0876,0,0.163783,0,0,4.87306,10.8877,0,0,11.1672,74.336,0,17.9981,3.64801,66.5499,9.57232,31.43,0,0,0,0
"MtrElec",1,1,19,"",357.28,0,2.45649,0,98.6407,0,0.163783,0,0,4.87306,10.8878,0.0606274,0,21.3192,79.8369,0,19.262,5.70828,80.9088,3.99394,29.1689,0,0,0,0
"MtrElec",1,1,20,"",280.989,0,2.82253,0,67.938,0,0.163783,0,0,4.87306,10.8877,0.363765,0,29.6946,82.9684,0,18.9059,10.4467,33.7583,1.88629,16.2803,0,0,0,0
"MtrElec",1,1,21,"",260.968,0,2.84324,0,82.2771,0,0.163783,0,0,4.87306,10.8877,0.363765,0,28.6794,86.0232,0,18.434,1.1769,15.9436,2.06695,7.23569,0,0,0,0
