"MF88 Individual Supply + Individual Exhaust (SZHP)  /  Proposed (PV-Batt only)  /  EX01c_MF88_ISUP_IEXH_SZHP_CZ09.cibd25x",001
"Wed 23-Sep-26   1:37:22 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",230.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.9,0,0,0
"MtrElec",1,1,2,"",163.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.584,0,0,0
"MtrElec",1,1,3,"",159.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.966,0,0,0
"MtrElec",1,1,4,"",162.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.098,0,0,0
"MtrElec",1,1,5,"",161.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.053,0,0,0
"MtrElec",1,1,6,"",225.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.967,0,0,0
"MtrElec",1,1,7,"",208.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.444,0,0,0
"MtrElec",1,1,8,"",184.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282.634,0,0,-98.247
"MtrElec",1,1,9,"",92.5149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390.717,0,0,-298.202
"MtrElec",1,1,10,"",-57.3528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.35,0,0,-457.703
"MtrElec",1,1,11,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.931,0,134.441,-557.373
"MtrElec",1,1,12,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497.316,0,97.3121,-594.628
"MtrElec",1,1,13,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.167,0,156.081,-578.248
"MtrElec",1,1,14,"",0.0000039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321.842,0,32.7822,-354.624
"MtrElec",1,1,15,"",42.6305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.395,0,0,-290.765
"MtrElec",1,1,16,"",133.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.891,0,0,-177.871
"MtrElec",1,1,17,"",348.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.63,0,0,-21.6091
"MtrElec",1,1,18,"",408.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.897,0,0,0
"MtrElec",1,1,19,"",225.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447.192,0,-221.926,0
"MtrElec",1,1,20,"",190.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.967,0,-157.681,0
"MtrElec",1,1,21,"",326.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326.232,0,0,0
"MtrElec",1,1,22,"",287.627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.627,0,0,0
"MtrElec",1,1,23,"",225.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.863,0,0,0
"MtrElec",1,1,24,"",253.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.034,0,0,0
"MtrElec",1,2,1,"",165.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.936,0,0,0
"MtrElec",1,2,2,"",163.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.095,0,0,0
"MtrElec",1,2,3,"",160.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.685,0,0,0
"MtrElec",1,2,4,"",166.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.29,0,0,0
"MtrElec",1,2,5,"",166.409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.409,0,0,0
"MtrElec",1,2,6,"",211.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.96,0,0,0
"MtrElec",1,2,7,"",255.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.78,0,0,0
"MtrElec",1,2,8,"",352.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.201,0,0,-2.06916
"MtrElec",1,2,9,"",336.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.483,0,0,-48.987
"MtrElec",1,2,10,"",362.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414.507,0,0,-51.9805
"MtrElec",1,2,11,"",409.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479.218,0,0,-69.4563
"MtrElec",1,2,12,"",280.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.399,0,0,-84.8637
"MtrElec",1,2,13,"",279.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.699,0,0,-90.2724
"MtrElec",1,2,14,"",307.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352.02,0,0,-44.8607
"MtrElec",1,2,15,"",278.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.592,0,0,-50.2479
"MtrElec",1,2,16,"",336.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356.439,0,0,-20.2054
"MtrElec",1,2,17,"",404.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406.103,0,0,-1.31538
"MtrElec",1,2,18,"",396.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.542,0,0,0
"MtrElec",1,2,19,"",429.537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.537,0,0,0
"MtrElec",1,2,20,"",423.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423.948,0,0,0
"MtrElec",1,2,21,"",447.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447.864,0,0,0
"MtrElec",1,2,22,"",360.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.059,0,0,0
"MtrElec",1,2,23,"",312.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.326,0,0,0
"MtrElec",1,2,24,"",218.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.722,0,0,0
"MtrElec",1,3,1,"",234.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.43,0,0,0
"MtrElec",1,3,2,"",170.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.625,0,0,0
"MtrElec",1,3,3,"",169.416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.416,0,0,0
"MtrElec",1,3,4,"",171.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.167,0,0,0
"MtrElec",1,3,5,"",206.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.495,0,0,0
"MtrElec",1,3,6,"",228.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.657,0,0,0
"MtrElec",1,3,7,"",193.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.596,0,0,0
"MtrElec",1,3,8,"",290.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.402,0,0,0
"MtrElec",1,3,9,"",311.484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331.97,0,0,-20.4866
"MtrElec",1,3,10,"",385.947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.006,0,0,-54.0584
"MtrElec",1,3,11,"",338.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500.486,0,0,-162.001
"MtrElec",1,3,12,"",218.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.401,0,0,-221.892
"MtrElec",1,3,13,"",181.522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.075,0,0,-255.552
"MtrElec",1,3,14,"",53.7673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415.24,0,0,-361.473
"MtrElec",1,3,15,"",116.921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.879,0,0,-311.958
"MtrElec",1,3,16,"",286.937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.678,0,0,-97.7408
"MtrElec",1,3,17,"",340.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351.754,0,0,-10.8869
"MtrElec",1,3,18,"",430.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430.52,0,0,0
"MtrElec",1,3,19,"",506.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506.86,0,0,0
"MtrElec",1,3,20,"",365.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.488,0,0,0
"MtrElec",1,3,21,"",337.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337.91,0,0,0
"MtrElec",1,3,22,"",355.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.279,0,0,0
"MtrElec",1,3,23,"",280.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.07,0,0,0
"MtrElec",1,3,24,"",224.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.981,0,0,0
"MtrElec",1,4,1,"",175.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.475,0,0,0
"MtrElec",1,4,2,"",170.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.796,0,0,0
"MtrElec",1,4,3,"",172.791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.791,0,0,0
"MtrElec",1,4,4,"",229.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.229,0,0,0
"MtrElec",1,4,5,"",207.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.224,0,0,0
"MtrElec",1,4,6,"",185.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.453,0,0,0
"MtrElec",1,4,7,"",244.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.168,0,0,0
"MtrElec",1,4,8,"",158.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.034,0,0,-102.127
"MtrElec",1,4,9,"",15.7158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.199,0,0,-297.483
"MtrElec",1,4,10,"",-36.6559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412.07,0,0,-448.726
"MtrElec",1,4,11,"",0.0000078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425.166,0,115.156,-540.322
"MtrElec",1,4,12,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391.137,0,204.851,-595.988
"MtrElec",1,4,13,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.272,0,154.066,-595.337
"MtrElec",1,4,14,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.299,0,145.463,-528.762
"MtrElec",1,4,15,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380.46,0,37.5612,-418.022
"MtrElec",1,4,16,"",79.2944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.78,0,0,-262.486
"MtrElec",1,4,17,"",296.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.184,0,0,-70.0743
"MtrElec",1,4,18,"",358.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.005,0,0,0
"MtrElec",1,4,19,"",188.783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.709,0,-221.926,0
