"MF88 Individual Supply + Individual Exhaust (SZHP)  /  Proposed  /  EX01c_MF88_ISUP_IEXH_SZHP_CZ09.cibd25x",002
"Wed 23-Sep-26   1:33:54 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",185.226,0,21.8323,0,51.7918,0,0.163783,0,0.00106232,4.87306,7.69838,5.8635,0,5.8374,51.3333,0,15.2799,0,18.5615,0,1.13058,0,0.859021,0,0
"MtrElec",1,1,2,"",119.172,0,24.7832,0,0,0,0.163783,0,0.0259715,4.87306,7.69837,5.86322,0,4.8222,47.2797,0,14.5471,2.47506,0,0,0.904462,0,5.73565,0,0
"MtrElec",1,1,3,"",116.556,0,26.6133,0,0,0,0.163783,0,0.0863496,4.87306,7.69837,5.85665,0,3.807,44.8524,0,14.2543,0,0,0,0.678346,0,7.67224,0,0
"MtrElec",1,1,4,"",119.29,0,28.5093,0,0,0,0.163783,0,0.163172,4.87306,7.69837,5.84135,0,4.3146,44.7245,0,13.8944,0,0,0,0.678346,0,8.4292,0,0
"MtrElec",1,1,5,"",118.729,0,30.0373,0,0,0,0.163783,0,0.214198,4.87306,7.69836,5.82578,0,5.3298,42.5129,0,13.4403,0,0,0,0.678346,0,7.95514,0,0
"MtrElec",1,1,6,"",183.938,0,31.1484,0,63.5498,0,0.163783,0,0.234571,4.87306,7.69836,5.81601,0,7.8678,46.3646,0,13.3612,0,0,0,1.13058,0,1.72935,0,0
"MtrElec",1,1,7,"",165.738,0,31.9942,0,32.9646,0,0.163783,0,0.192582,4.87306,7.69835,5.81196,0,10.6596,52.2089,0,13.6906,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",237.559,0,28.6925,0,79.7139,0,0.163783,0,0.161911,4.87306,7.69836,5.82123,0,10.4058,56.9195,0,14.8359,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",330.364,0,23.5982,0,139.815,0,0.163783,0,0.115105,4.87306,7.69838,5.82927,0,8.6292,53.744,0,16.7796,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",336.008,0,17.39,0,115.128,0,0.163783,0,0.0656235,4.87306,7.69841,0,0,7.3602,51.7744,0,16.454,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",316.063,0,10.9942,0,25.0039,0,0.163783,0,0.0143368,4.87306,7.69843,0,0,6.8526,52.8005,0,16.218,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",386.239,0,7.56307,0,133.146,0,0.163783,0,0.0187363,4.87306,7.69846,0,0,6.345,52.0002,0,16.5806,4.96314,130.077,10.3739,12.4363,0,0,0,0
"MtrElec",1,1,13,"",287.002,0,3.93122,0,73.5506,0,0.163783,0,0.01098,4.87306,7.69847,0,0,5.3298,53.1487,0,16.9221,10.9151,87.6841,8.52904,14.2453,0,0,0,0
"MtrElec",1,1,14,"",186.447,0,2.59054,0,4.58317,0,0.163783,0,0,4.87306,7.69858,0,0,5.3298,54.647,0,17.1388,0,72.0906,3.99134,13.3408,0,0,0,0
"MtrElec",1,1,15,"",198.556,0,2.12404,0,54.6189,0,0.163783,0,0,4.87306,7.69869,0,0,5.3298,57.1222,0,16.8993,0,33.7363,1.97117,14.0191,0,0,0,0
"MtrElec",1,1,16,"",176.031,0,2.60398,0,38.3998,0,0.163783,0,0,4.87306,7.69858,0,0,6.5988,59.8622,0,17.2635,0,16.6611,6.53062,15.3758,0,0,0,0
"MtrElec",1,1,17,"",231.528,0,4.1649,0,39.446,0,0.163783,0,0,4.87306,7.69848,0,0,7.8678,66.6719,0,16.9929,0,55.1992,7.87351,20.5765,0,0,0,0
"MtrElec",1,1,18,"",294.233,0,6.74016,0,60.0878,0,0.163783,0,0,4.87306,7.69846,0,0,11.1672,74.336,0,17.966,3.64801,66.5499,9.57232,31.43,0,0,0,0
"MtrElec",1,1,19,"",360.951,0,9.39808,0,98.6409,0,0.163783,0,0,4.87306,7.69848,0,0,21.3192,79.8369,0,19.2404,5.70828,80.9088,3.99394,29.1689,0,0,0,0
"MtrElec",1,1,20,"",285.082,0,10.4924,0,67.9382,0,0.163783,0,0,4.87306,7.69847,0,0,29.6946,82.9684,0,18.8818,10.4467,33.7583,1.88629,16.2803,0,0,0,0
"MtrElec",1,1,21,"",265.15,0,10.6051,0,82.2773,0,0.163783,0,0.000116029,4.87306,7.69848,0,0,28.6794,86.0232,0,18.4065,1.1769,15.9436,2.06695,7.23569,0,0,0,0
"MtrElec",1,1,22,"",228.653,0,10.584,0,52.7381,0,0.163783,0,0.0170773,4.87306,7.69848,0,0,24.3648,85.0899,0,17.6618,1.2979,17.4706,3.52809,3.16561,0,0,0,0
"MtrElec",1,1,23,"",172.081,0,13.5962,0,0,0,0.163783,0,0.0467529,4.87306,7.69846,0,0,15.9894,73.9478,0,16.315,4.94855,29.8207,2.64597,2.03504,0,0,0,0
"MtrElec",1,1,24,"",204.986,0,19.097,0,55.5623,0,0.163783,0,0.0967236,4.87306,7.69842,0,0,9.8982,62.7554,0,16.3955,4.95004,22.3647,0,1.13058,0,0,0,0
"MtrElec",1,2,1,"",120.607,0,23.2393,0,0,0,0.163783,0,0.135122,4.87306,7.6984,5.841,0,5.8374,51.197,0,14.7512,2.47455,0,0,1.13058,0,3.26536,0,0
"MtrElec",1,2,2,"",119.082,0,24.2803,0,0,0,0.163783,0,0.156441,4.87306,7.6984,5.83407,0,4.8222,46.7506,0,14.3419,1.69764,0,0,0.904462,0,7.55909,0,0
"MtrElec",1,2,3,"",116.381,0,25.386,0,0.781739,0,0.163783,0,0.185317,4.87306,7.6984,5.82971,0,3.807,44.988,0,13.8583,3.25256,0,0.385447,0.904462,0,4.26736,0,0
"MtrElec",1,2,4,"",123.636,0,28.076,0,2.19415,0,0.163783,0,0.246255,4.87306,7.69839,5.82334,0,4.3146,44.7238,0,13.6345,0,3.25794,0.496546,0.904462,0,7.22888,0,0
"MtrElec",1,2,5,"",124.698,0,28.3343,0,4.3834,0,0.163783,0,0.268646,4.87306,7.69839,5.80708,0,5.3298,42.6485,0,13.2592,0,4.19699,0,0.904462,0,6.82997,0,0
"MtrElec",1,2,6,"",167.623,0,25.6122,0,48.9961,0,0.163783,0,0.198542,4.87306,7.6984,5.80051,0,7.8678,46.6061,0,13.7338,0,0,0,3.16561,0,2.90725,0,0
"MtrElec",1,2,7,"",199.507,0,23.2776,0,72.2109,0,0.163783,0,0.147756,4.87306,7.6984,5.81742,0,10.6596,54.526,0,15.3684,0,0,0.468189,4.29619,0,0,0,0
"MtrElec",1,2,8,"",275.778,0,23.2027,0,128.233,0,0.163783,0,0.188888,4.87306,7.6984,5.82959,0,10.4058,60.4814,0,16.8001,2.58527,3.95731,5.70603,5.65288,0,0,0,0
"MtrElec",1,2,9,"",266.291,0,18.9027,0,80.7806,0,0.163783,0,0.238585,4.87306,7.69844,5.81941,0,8.6292,59.3392,0,16.3192,6.10072,48.2295,3.31761,5.879,0,0,0,0
"MtrElec",1,2,10,"",242.911,0,13.4884,0,83.3072,0,0.163783,0,0.24055,4.87306,7.69847,0,0,7.3602,58.8664,0,15.1419,9.3224,28.0416,9.43204,4.97454,0,0,0,0
"MtrElec",1,2,11,"",304.051,0,11.5938,0,101.804,0,0.163783,0,0.17566,4.87306,7.69848,0,0,6.8526,59.1677,0,14.7314,5.7197,79.7231,6.79933,4.74842,0,0,0,0
"MtrElec",1,2,12,"",180.765,0,8.49144,0,8.94314,0,0.163783,0,0.151725,4.87306,7.69853,0,0,6.345,59.1677,0,14.8957,5.26854,57.4705,0.738297,6.55734,0,0,0,0
