"MF8  Individual Supply + Individual Exhaust (SZHP-HRV)  /  Standard  /  EX01d_MF08_BAL_HRV_SZHP_CZ09.cibd25x",001
"Wed 23-Sep-26   1:37:32 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",14.6571,0,0,0,1.73627,0,0,0,0,0.504578,0,0.247186,0,0.537112,4.64792,0,1.32857,0,5.55219,0,0.103269,0,0,0,0
"MtrElec",1,1,2,"",8.00729,0,0,0,1.1858,0,0,0,0,0.504578,0,0.247186,0,0.443701,4.27654,0,1.26686,0,0,0,0.082615,0,0,0,0
"MtrElec",1,1,3,"",7.88174,0,0,0,1.42425,0,0,0,0,0.504578,0,0.247186,0,0.35029,4.05412,0,1.23935,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,4,"",8.14565,0,0,0,1.68648,0,0,0,0,0.504578,0,0.247186,0,0.396996,4.04258,0,1.20586,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,5,"",7.25096,0,0.407395,0,0.485237,0,0,0,0.0597158,0.504578,0,0.247186,0,0.490407,3.83942,0,1.15505,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,6,"",9.48842,0,0.76613,0,1.72936,0,0,0,0.11278,0.504578,0,0.242859,0,0.723934,4.16041,0,1.14511,0,0,0,0.103269,0,0,0,0
"MtrElec",1,1,7,"",24.3778,0,0.76561,0,1.64092,12.659,0,0,0.113148,0.504578,0,0.239015,0,0.980813,4.67234,0,1.16389,0,0,0.654821,0.206538,0,0.777083,0,0
"MtrElec",1,1,8,"",18.6957,0,0.255749,0,1.5111,6.06866,0,0,0.0376457,0.504578,0,0.238988,0,0.957461,5.01958,0,1.27376,0,5.53479,1.74196,0.557651,0,0.493848,0,-5.5001
"MtrElec",1,1,9,"",11.0109,0,0.0128136,0,3.7273,0,0,0,0.00187326,0.504578,0,0.244458,0,0.793992,4.71994,0,1.47875,0,14.7237,0.249339,0.99138,0,0.256802,0,-16.6941
"MtrElec",1,1,10,"",-2.21735,0,0,0,6.86123,0,0,0,0,0.504578,0,0,0,0.677228,4.53847,0,1.42853,1.00827,2.1075,5.28873,0.99138,0,0,0,-25.6233
"MtrElec",1,1,11,"",34.0653,0,0,0,8.31132,0,0,0,0,0.504578,0,0,0,0.630523,4.61538,0,1.41228,1.4659,44.7023,2.64576,0.950073,0,0.0303133,0,-31.203
"MtrElec",1,1,12,"",3.26014,0,0,0,5.95548,0,0,0,0,0.504578,0,0,0,0.583817,4.54226,0,1.44849,0,22.3629,0,1.13596,0,0.0153222,0,-33.2887
"MtrElec",1,1,13,"",-19.0778,0,0,0,5.01633,0,0,0,0,0.504578,0,0,0,0.490407,4.501,0,1.48033,0,0,0,1.30119,0,0,0,-32.3717
"MtrElec",1,1,14,"",-10.5008,0,0,0,0.999643,0,0,0,0,0.504578,0,0,0,0.490407,4.63842,0,1.50027,0,0,0,1.21857,0,0,0,-19.8527
"MtrElec",1,1,15,"",-7.66018,0,0,0,0,0,0,0,0,0.504578,0,0,0,0.490407,4.86538,0,1.47663,0,0,0,1.28053,0,0,0,-16.2777
"MtrElec",1,1,16,"",-0.798985,0,0,0,0,0,0,0,0,0.504578,0,0,0,0.60717,5.1168,0,1.52563,0,0,0,1.40446,0,0,0,-9.95762
"MtrElec",1,1,17,"",9.29804,0,0,0,0.177437,0,0,0,0,0.504578,0,0,0,0.723934,5.74202,0,1.48031,0,0,0,1.87949,0,0,0,-1.20973
