"MF8  Individual Supply + Individual Exhaust (SZHP-HRV)  /  Proposed  /  EX01d_MF08_BAL_HRV_SZHP_CZ09.cibd25x",001
"Wed 23-Sep-26   1:37:32 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",18.3634,0,0,0,5.34834,0,0,0,0,0.504578,0,0.23265,0,0.537112,4.64792,0,1.43733,0,5.55219,0,0.103269,0,0,0,0
"MtrElec",1,1,2,"",9.48504,0,0,0,2.57799,0,0,0,0,0.504578,0,0.23265,0,0.443701,4.27654,0,1.36697,0,0,0,0.082615,0,0,0,0
"MtrElec",1,1,3,"",6.54312,0,0,0,0,0,0,0,0,0.504578,0,0.23265,0,0.35029,4.05412,0,1.33952,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,4,"",6.54457,0,0,0,0,0,0,0,0,0.504578,0,0.23265,0,0.396996,4.04258,0,1.3058,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,5,"",6.3982,0,0,0,0,0,0,0,0,0.504578,0,0.23265,0,0.490407,3.83942,0,1.26918,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,6,"",8.72104,0,0,0,1.73307,0,0,0,0,0.504578,0,0.23265,0,0.723934,4.16041,0,1.26313,0,0,0,0.103269,0,0,0,0
"MtrElec",1,1,7,"",23.2827,0,0,0,1.66585,12.4202,0,0,0,0.504578,0,0.23265,0,0.980813,4.67234,0,1.30073,0,0,0.654821,0.206538,0,0.644187,0,0
"MtrElec",1,1,8,"",18.3984,0,0,0,1.51225,5.98127,0,0,0,0.504578,0,0.23265,0,0.957461,5.01958,0,1.40298,0,5.53479,1.74196,0.557651,0,0.465083,0,-5.51185
"MtrElec",1,1,9,"",9.27997,0,0,0,1.98327,0,0,0,0,0.504578,0,0.23265,0,0.793992,4.71994,0,1.56297,0,14.7237,0.249339,0.99138,0,0.247871,0,-16.7297
"MtrElec",1,1,10,"",-2.79934,0,0,0,6.21855,0,0,0,0,0.504578,0,0,0,0.677228,4.53847,0,1.54398,1.00827,2.1075,5.28873,0.99138,0,0,0,-25.678
"MtrElec",1,1,11,"",34.0579,0,0,0,8.2642,0,0,0,0,0.504578,0,0,0,0.630523,4.61538,0,1.52077,1.4659,44.7023,2.64576,0.950073,0,0.0281482,0,-31.2697
"MtrElec",1,1,12,"",3.94411,0,0,0,6.60068,0,0,0,0,0.504578,0,0,0,0.583817,4.54226,0,1.56002,0,22.3629,0,1.13596,0,0.0137185,0,-33.3598
"MtrElec",1,1,13,"",-20.0126,0,0,0,4.03644,0,0,0,0,0.504578,0,0,0,0.490407,4.501,0,1.59463,0,0,0,1.30119,0,0,0,-32.4408
"MtrElec",1,1,14,"",-8.56548,0,0,0,2.86461,0,0,0,0,0.504578,0,0,0,0.490407,4.63842,0,1.61305,0,0,0,1.21857,0,0,0,-19.8951
"MtrElec",1,1,15,"",-7.57906,0,0,0,0,0,0,0,0,0.504578,0,0,0,0.490407,4.86538,0,1.59254,0,0,0,1.28053,0,0,0,-16.3125
"MtrElec",1,1,16,"",-0.732399,0,0,0,0,0,0,0,0,0.504578,0,0,0,0.60717,5.1168,0,1.6135,0,0,0,1.40446,0,0,0,-9.9789
"MtrElec",1,1,17,"",9.4191,0,0,0,0.177222,0,0,0,0,0.504578,0,0,0,0.723934,5.74202,0,1.60417,0,0,0,1.87949,0,0,0,-1.21231
"MtrElec",1,1,18,"",14.114,0,0,0,1.54932,0,0,0,0,0.504578,0,0,0,1.02752,6.47423,0,1.68751,0,0,0,2.87087,0,0,0,0
"MtrElec",1,1,19,"",16.6657,0,0,0,2.79013,0,0,0,0,0.504578,0,0,0,1.96163,6.95786,0,1.7872,0,0,0,2.66433,0,0,0,0
