"MF8  Central Supply + Central Exhaust (SZHP)  /  Standard  /  EX01e_MF08_CSUP_CEXH_SZHP_CZ09.cibd25x",001
"Wed 23-Sep-26   1:37:48 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",15.094,0,0,0,1.72849,0,0,0,0,0.937253,0,0.248498,0,0.537112,4.64792,0,1.33923,0,5.55219,0,0.103269,0,0,0,0
"MtrElec",1,1,2,"",8.44709,0,0,0,1.18189,0,0,0,0,0.937253,0,0.248498,0,0.443701,4.27654,0,1.27659,0,0,0,0.082615,0,0,0,0
"MtrElec",1,1,3,"",8.24379,0,0,0,1.34267,0,0,0,0,0.937253,0,0.248498,0,0.35029,4.05412,0,1.24899,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,4,"",8.58435,0,0,0,1.68163,0,0,0,0,0.937253,0,0.248498,0,0.396996,4.04258,0,1.21543,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,5,"",7.31361,0,0,0,0.570141,0,0,0,0,0.937253,0,0.248498,0,0.490407,3.83942,0,1.16592,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,6,"",9.05873,0,0,0,1.72963,0,0,0,0,0.937253,0,0.248498,0,0.723934,4.16041,0,1.15573,0,0,0,0.103269,0,0,0,0
"MtrElec",1,1,7,"",23.9418,0,0,0,1.64107,12.659,0,0,0,0.937253,0,0.248498,0,0.980813,4.67234,0,1.17415,0,0,0.654821,0.206538,0,0.767264,0,0
"MtrElec",1,1,8,"",18.8315,0,0,0,1.51122,6.05025,0,0,0,0.937253,0,0.248498,0,0.957461,5.01958,0,1.28209,0,5.53479,1.74196,0.557651,0,0.490857,0,-5.5001
"MtrElec",1,1,9,"",11.2051,0,0,0,3.495,0,0,0,0,0.937253,0,0.248498,0,0.793992,4.71994,0,1.48413,0,14.7237,0.249339,0.99138,0,0.255883,0,-16.6941
"MtrElec",1,1,10,"",-2.88907,0,0,0,5.74859,0,0,0,0,0.937253,0,0,0,0.677228,4.53847,0,1.43679,1.00827,2.1075,5.28873,0.99138,0,0,0,-25.6233
"MtrElec",1,1,11,"",35.4258,0,0,0,9.23114,0,0,0,0,0.937253,0,0,0,0.630523,4.61538,0,1.42048,1.4659,44.7023,2.64576,0.950073,0,0.0301076,0,-31.203
"MtrElec",1,1,12,"",3.77657,0,0,0,6.03073,0,0,0,0,0.937253,0,0,0,0.583817,4.54226,0,1.45716,0,22.3629,0,1.13596,0,0.0151699,0,-33.2887
"MtrElec",1,1,13,"",-18.7401,0,0,0,4.9123,0,0,0,0,0.937253,0,0,0,0.490407,4.501,0,1.48938,0,0,0,1.30119,0,0,0,-32.3717
"MtrElec",1,1,14,"",-9.97457,0,0,0,1.08411,0,0,0,0,0.937253,0,0,0,0.490407,4.63842,0,1.50936,0,0,0,1.21857,0,0,0,-19.8527
"MtrElec",1,1,15,"",-7.21804,0,0,0,0,0,0,0,0,0.937253,0,0,0,0.490407,4.86538,0,1.4861,0,0,0,1.28053,0,0,0,-16.2777
"MtrElec",1,1,16,"",-0.359032,0,0,0,0,0,0,0,0,0.937253,0,0,0,0.60717,5.1168,0,1.53291,0,0,0,1.40446,0,0,0,-9.95762
"MtrElec",1,1,17,"",9.7411,0,0,0,0.177442,0,0,0,0,0.937253,0,0,0,0.723934,5.74202,0,1.49069,0,0,0,1.87949,0,0,0,-1.20973
"MtrElec",1,1,18,"",14.4452,0,0,0,1.55142,0,0,0,0,0.937253,0,0,0,1.02752,6.47423,0,1.58394,0,0,0,2.87087,0,0,0,0
"MtrElec",1,1,19,"",17.0297,0,0,0,2.79146,0,0,0,0,0.937253,0,0,0,1.96163,6.95786,0,1.71721,0,0,0,2.66433,0,0,0,0
"MtrElec",1,1,20,"",19.8501,0,0,0,3.30572,0,0,0,0,0.937253,0,0,0,2.73227,7.23308,0,1.67914,2.47561,0,0,1.48707,0,0,0,0
"MtrElec",1,1,21,"",19.5693,0,0,0,5.31572,0,0,0,0,0.937253,0,0,0,2.63885,7.49676,0,1.63023,0,0,0.882255,0.66092,0,0.00732582,0,0
"MtrElec",1,1,22,"",24.6066,0,0,0,4.68585,0,0,0,0,0.937253,0,0,0,2.24186,7.42686,0,1.56434,0,7.45715,0,0.289153,0,0.00412662,0,0
"MtrElec",1,1,23,"",16.6339,0,0,0,5.97512,0,0,0,0,0.937253,0,0,0,1.47122,6.63975,0,1.42465,0,0,0,0.185884,0,0,0,0
"MtrElec",1,1,24,"",13.4621,0,0,0,4.39369,0,0,0,0,0.937253,0,0,0,0.910755,5.66234,0,1.45482,0,0,0,0.103269,0,0,0,0
"MtrElec",1,2,1,"",8.19999,0,0,0,0.455797,0,0,0,0,0.937253,0,0.248498,0,0.537112,4.63532,0,1.28274,0,0,0,0.103269,0,0,0,0
"MtrElec",1,2,2,"",7.1938,0,0,0,0,0,0,0,0,0.937253,0,0.248498,0,0.443701,4.22793,0,1.2538,0,0,0,0.082615,0,0,0,0
"MtrElec",1,2,3,"",6.89343,0,0,0,0,0,0,0,0,0.937253,0,0.248498,0,0.35029,4.06638,0,1.2084,0,0,0,0.082615,0,0,0,0
