"MF8  Central Supply + Central Exhaust (SZHP)  /  Proposed  /  EX01e_MF08_CSUP_CEXH_SZHP_CZ09.cibd25x",001
"Wed 23-Sep-26   1:37:48 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",15.0832,0,0,0,1.71854,0,0,0,0,0.937253,0,0.242674,0,0.537112,4.64792,0,1.34426,0,5.55219,0,0.103269,0,0,0,0
"MtrElec",1,1,2,"",8.44797,0,0,0,1.18398,0,0,0,0,0.937253,0,0.242674,0,0.443701,4.27654,0,1.2812,0,0,0,0.082615,0,0,0,0
"MtrElec",1,1,3,"",8.21547,0,0,0,1.31554,0,0,0,0,0.937253,0,0.242674,0,0.35029,4.05412,0,1.25363,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,4,"",8.58156,0,0,0,1.67999,0,0,0,0,0.937253,0,0.242674,0,0.396996,4.04258,0,1.2201,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,5,"",7.34148,0,0,0,0.598457,0,0,0,0,0.937253,0,0.242674,0,0.490407,3.83942,0,1.1713,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,6,"",9.05866,0,0,0,1.72974,0,0,0,0,0.937253,0,0.242674,0,0.723934,4.16041,0,1.16138,0,0,0,0.103269,0,0,0,0
"MtrElec",1,1,7,"",23.9384,0,0,0,1.64112,12.659,0,0,0,0.937253,0,0.242674,0,0.980813,4.67234,0,1.18084,0,0,0.654821,0.206538,0,0.763013,0,0
"MtrElec",1,1,8,"",18.8115,0,0,0,1.51126,6.04234,0,0,0,0.937253,0,0.242674,0,0.957461,5.01958,0,1.2885,0,5.53479,1.74196,0.557651,0,0.489875,0,-5.51185
"MtrElec",1,1,9,"",11.1096,0,0,0,3.43707,0,0,0,0,0.937253,0,0.242674,0,0.793992,4.71994,0,1.48834,0,14.7237,0.249339,0.99138,0,0.25558,0,-16.7297
"MtrElec",1,1,10,"",-2.91279,0,0,0,5.77389,0,0,0,0,0.937253,0,0,0,0.677228,4.53847,0,1.44253,1.00827,2.1075,5.28873,0.99138,0,0,0,-25.678
"MtrElec",1,1,11,"",35.3627,0,0,0,9.22934,0,0,0,0,0.937253,0,0,0,0.630523,4.61538,0,1.42586,1.4659,44.7023,2.64576,0.950073,0,0.0300375,0,-31.2697
