"MF08_Individual Supply + Individual Exhaust (WSHP)  /  Proposed  /  EX03_MF08_Central-WSHP_CZ09.cibd25x",001
"Wed 23-Sep-26   1:38:36 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",14.6258,0,0,0,1.735,0,0,0,0,0.504578,0,0.212275,0,0.537112,4.64792,0,1.33345,0,5.55219,0,0.103269,0,0,0,0
"MtrElec",1,1,2,"",7.97615,0,0,0,1.18508,0,0,0,0,0.504578,0,0.212275,0,0.443701,4.27654,0,1.27136,0,0,0,0.082615,0,0,0,0
"MtrElec",1,1,3,"",7.82412,0,0,0,1.39703,0,0,0,0,0.504578,0,0.212275,0,0.35029,4.05412,0,1.24386,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,4,"",8.11366,0,0,0,1.68486,0,0,0,0,0.504578,0,0.212275,0,0.396996,4.04258,0,1.21041,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,5,"",6.78263,0,0,0,0.513688,0,0,0,0,0.504578,0,0.212275,0,0.490407,3.83942,0,1.1603,0,0,0,0.0619613,0,0,0,0
"MtrElec",1,1,6,"",8.58394,0,0,0,1.72947,0,0,0,0,0.504578,0,0.212275,0,0.723934,4.16041,0,1.15,0,0,0,0.103269,0,0,0,0
"MtrElec",1,1,7,"",23.5346,0,0.052846,0,1.64097,12.659,0,0,0.0100044,0.504578,0,0.212275,0,0.980813,4.67234,0,1.16751,0,0,0.654821,0.206538,0,0.772859,0,0
"MtrElec",1,1,8,"",18.3567,0,0,0,1.51113,6.06083,0,0,0,0.504578,0,0.211789,0,0.957461,5.01958,0,1.27592,0,5.53479,1.74196,0.557651,0,0.492888,0,-5.51185
"MtrElec",1,1,9,"",10.8715,0,0,0,3.66919,0,0,0,0,0.504578,0,0.212275,0,0.793992,4.71994,0,1.4803,0,14.7237,0.249339,0.99138,0,0.256506,0,-16.7297
"MtrElec",1,1,10,"",-3.45934,0,0,0,5.67099,0,0,0,0,0.504578,0,0,0,0.677228,4.53847,0,1.43155,1.00827,2.1075,5.28873,0.99138,0,0,0,-25.678
