20,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-CLI 2025.3.0 RC (1415)"
,CompMgr:,,"BEMCmpMgr 2025.3.0-RC (1083)"
,OpenStudio:,,"3.10.0+e80a80c812"
,EnergyPlus:,,"25.1.0-1c11a3d85f"
,CSE:,,"CSE 1.0.0-rc1 EXE"
,Ruleset:,,"Constructed At Runtime"
Run Title:,,,"MF08_Individual Supply + Individual Exhaust (WSHP)"
Run Date/Time:,,,"2026-09-23 13:38:48"
NonRes Cond. Area:,,,0
Residential Cond. Area:,,,7320
Gross-Up adjustment to NEM3:,,,6.6,%
Model:,,,"Proposed"
Model File:,,,"C:\Users\MichaelSawford\Documents\Claude\Projects\Complex HVAC\v1.1_build\output\EX03_MF_Central-WSHP\EX03_MF08_Central-WSHP_CZ09\EX03_MF08_Central-WSHP_CZ09.cibd25x"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),(mult)
1,1,1, 01/01 01,0,0,0.147841,0,0.0621966,0.508355,0,1.36184,2.04775,0.157374,0,0.718393,4.28536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1911,1269.81,1106.78,8.29512,89.9626,100,0.000438895,0.0060051,0.006288,0.00127989,0,0,9.24223,
1,1,2, 01/01 02,0,0,0.147841,0,0.0621966,0.347228,0,1.25303,0.396715,0.130004,0,0.557266,2.33701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2831,1269.81,1106.78,7.19566,89.9626,100,0.000380722,0.0060051,0.006288,0.000390829,0,0,6.17296,
1,1,3, 01/01 03,0,0,0.147841,0,0.0621966,0.40933,0,1.18786,0.382606,0.102635,0,0.619368,2.29247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79372,1269.81,1106.78,4.74042,89.9626,100,0.000250816,0.0060051,0.006288,0,0,0,2.64704,
1,1,4, 01/01 04,0,0,0.147841,0,0.0621966,0.493664,0,1.18448,0.372805,0.11632,0,0.703702,2.3773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58349,1269.81,1106.78,4.31459,89.9626,100,0.000228285,0.0060051,0.006288,0,0,0,2.48192,
1,1,5, 01/01 05,0,0,0.147841,0,0.0621966,0.150511,0,1.12495,0.358123,0.143689,0,0.360549,1.98731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54633,1269.81,1106.78,4.23227,89.9626,100,0.000223929,0.0060051,0.006288,0,0,0,2.45273,
1,1,6, 01/01 06,0,0,0.147841,0,0.0621966,0.506735,0,1.219,0.367208,0.212113,0,0.716773,2.51509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60773,1269.81,1106.78,4.35364,89.9626,100,0.000230351,0.0060051,0.006288,0,0,0,2.50096,
1,1,7, 01/01 07,0.0154839,0,0.150773,0,0.150911,4.41634,0,1.369,0.594459,0.287378,0,4.73351,6.98434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53865,1269.81,1106.78,5.54605,89.9626,100,0.000293441,0.0060051,0.006288,0.000150648,0,0,3.23209,
1,1,8, 01/01 08,0,0,0.147841,0,0.0620542,2.363,0,1.47074,2.66932,0.280536,0,2.5729,6.99349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59624,1269.81,1106.78,4.35696,89.9626,100,0.000230527,0.0060051,0.006288,0,-1.61497,0,2.49194,
1,1,9, 01/01 09,0,0,0.147841,0,0.0621966,1.15023,0,1.38294,5.1113,0.23264,0,1.36027,8.08715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76122,1269.81,1106.78,2.68137,89.9626,100,0.000141871,0.0060051,0.006288,0,-4.9018,0,1.83612,
