"MF08_Individual Supply + Individual Exhaust (WSHP)  /  Proposed  /  EX03_MF08_Central-WSHP_CZ09.cibd25x",001
"Wed 23-Sep-26   1:38:36 pm"
"x-ldPass","Hour"
"Month","Day","Hr","CW Loop-HtgLd (Btu)","ClgLd (Btu)","NetLd (Btu)","DemFlw (gpm)","ActualFlw (gpm)","NetLd (W)","FlowFrac"
1,1,1,0,0,0,0,14.1,0,0
1,1,2,0,0,0,0,14.1,0,0
1,1,3,0,0,0,0,14.1,0,0
1,1,4,0,0,0,0,14.1,0,0
1,1,5,0,0,0,0,14.1,0,0
1,1,6,0,0,0,0,14.1,0,0
1,1,7,143.148,0,143.148,0.0286187,14.1,41.9543,0.000889478
1,1,8,0,0,0,0,14.1,0,0
1,1,9,0,0,0,0,14.1,0,0
1,1,10,0,0,0,0,14.1,0,0
1,1,11,0,0,0,0,14.1,0,0
1,1,12,0,0,0,0,14.1,0,0
1,1,13,0,0,0,0,14.1,0,0
1,1,14,0,0,0,0,14.1,0,0
1,1,15,0,0,0,0,14.1,0,0
1,1,16,0,0,0,0,14.1,0,0
1,1,17,0,0,0,0,14.1,0,0
1,1,18,0,0,0,0,14.1,0,0
1,1,19,0,0,0,0,14.1,0,0
1,1,20,0,0,0,0,14.1,0,0
1,1,21,0,0,0,0,14.1,0,0
1,1,22,0,0,0,0,14.1,0,0
1,1,23,0,0,0,0,14.1,0,0
1,1,24,0,0,0,0,14.1,0,0
1,2,1,0,0,0,0,14.1,0,0
1,2,2,0,0,0,0,14.1,0,0
1,2,3,0,0,0,0,14.1,0,0
1,2,4,0,0,0,0,14.1,0,0
1,2,5,0,0,0,0,14.1,0,0
1,2,6,0,0,0,0,14.1,0,0
1,2,7,0,0,0,0,14.1,0,0
1,2,8,0,0,0,0,14.1,0,0
1,2,9,1029.43,0,1029.43,0.205808,14.1,301.71,0.000889478
1,2,10,1700.58,0,1700.58,0.339988,14.1,498.413,0.000889478
1,2,11,1538.22,0,1538.22,0.307528,14.1,450.827,0.000889478
1,2,12,543.427,0,543.427,0.108644,14.1,159.269,0.000889478
1,2,13,1199.36,0,1199.36,0.239781,14.1,351.513,0.000889478
1,2,14,2053.52,0,2053.52,0.410547,14.1,601.851,0.000889478
1,2,15,2276.1,0,2276.1,0.455047,14.1,667.086,0.000889478
1,2,16,1842.54,0,1842.54,0.368368,14.1,540.018,0.000889478
1,2,17,1849.1,0,1849.1,0.36968,14.1,541.941,0.000889478
1,2,18,2124.13,0,2124.13,0.424664,14.1,622.546,0.000889478
1,2,19,1023.19,0,1023.19,0.20456,14.1,299.88,0.000889478
1,2,20,335.497,0,335.497,0.0670738,14.1,98.3284,0.000889478
1,2,21,613.855,0,613.855,0.122724,14.1,179.911,0.000889478
1,2,22,1260.16,0,1260.16,0.251936,14.1,369.331,0.000889478
1,2,23,2415.08,0,2415.08,0.482832,14.1,707.819,0.000889478
1,2,24,5466.79,0,5466.79,1.09294,14.1,1602.22,0.000889478
1,3,1,6693.18,0,6693.18,1.33813,14.1,1961.66,0.000889478
1,3,2,7160.93,0,7160.93,1.43164,14.1,2098.75,0.000889478
1,3,3,7442.35,0,7442.35,1.4879,14.1,2181.23,0.000889478
1,3,4,7712.04,0,7712.04,1.54182,14.1,2260.27,0.000889478
1,3,5,8855.85,0,8855.85,1.7705,14.1,2595.5,0.000889478
1,3,6,7929.13,0,7929.13,1.58522,14.1,2323.9,0.000889478
1,3,7,6180.59,0,6180.59,1.23565,14.1,1811.43,0.000889478
1,3,8,6957.14,0,6957.14,1.3909,14.1,2039.02,0.000889478
1,3,9,5603.32,0,5603.32,1.12024,14.1,1642.24,0.000889478
1,3,10,4457.27,0,4457.27,0.891115,14.1,1306.35,0.000889478
1,3,11,2296.57,0,2296.57,0.459139,14.1,673.086,0.000889478
1,3,12,1613.06,0,1613.06,0.32249,14.1,472.762,0.000889478
1,3,13,948.515,0,948.515,0.189631,14.1,277.994,0.000889478
1,3,14,0,0,0,0,14.1,0,0
1,3,15,0,0,0,0,14.1,0,0
1,3,16,0,0,0,0,14.1,0,0
1,3,17,0,0,0,0,14.1,0,0
1,3,18,0,0,0,0,14.1,0,0
1,3,19,0,0,0,0,14.1,0,0
1,3,20,0,0,0,0,14.1,0,0
1,3,21,0,0,0,0,14.1,0,0
1,3,22,0,0,0,0,14.1,0,0
1,3,23,0,0,0,0,14.1,0,0
1,3,24,0,0,0,0,14.1,0,0
1,4,1,0,0,0,0,14.1,0,0
1,4,2,1838.08,0,1838.08,0.367476,14.1,538.71,0.000889478
1,4,3,4663.02,0,4663.02,0.932251,14.1,1366.65,0.000889478
1,4,4,5701.84,0,5701.84,1.13994,14.1,1671.11,0.000889478
1,4,5,7256.55,0,7256.55,1.45076,14.1,2126.77,0.000889478
1,4,6,7864.19,0,7864.19,1.57224,14.1,2304.86,0.000889478
1,4,7,6662.81,0,6662.81,1.33206,14.1,1952.76,0.000889478
1,4,8,4855.85,0,4855.85,0.970801,14.1,1423.17,0.000889478
1,4,9,1337.26,0,1337.26,0.267351,14.1,391.93,0.000889478
1,4,10,0,0,0,0,14.1,0,0
1,4,11,0,0,0,0,14.1,0,0
1,4,12,0,0,0,0,14.1,0,0
1,4,13,0,0,0,0,14.1,0,0
1,4,14,0,0,0,0,14.1,0,0
1,4,15,0,0,0,0,14.1,0,0
1,4,16,0,0,0,0,14.1,0,0
1,4,17,0,0,0,0,14.1,0,0
1,4,18,0,0,0,0,14.1,0,0
1,4,19,0,0,0,0,14.1,0,0
1,4,20,0,0,0,0,14.1,0,0
1,4,21,0,0,0,0,14.1,0,0
1,4,22,0,0,0,0,14.1,0,0
1,4,23,0,0,0,0,14.1,0,0
1,4,24,0,0,0,0,14.1,0,0
1,5,1,0,0,0,0,14.1,0,0
1,5,2,0,0,0,0,14.1,0,0
1,5,3,0,0,0,0,14.1,0,0
1,5,4,0,0,0,0,14.1,0,0
1,5,5,0,0,0,0,14.1,0,0
1,5,6,0,0,0,0,14.1,0,0
1,5,7,0,0,0,0,14.1,0,0
1,5,8,0,0,0,0,14.1,0,0
1,5,9,0,0,0,0,14.1,0,0
1,5,10,0,0,0,0,14.1,0,0
1,5,11,0,0,0,0,14.1,0,0
1,5,12,0,0,0,0,14.1,0,0
1,5,13,0,0,0,0,14.1,0,0
1,5,14,0,0,0,0,14.1,0,0
1,5,15,0,0,0,0,14.1,0,0
1,5,16,0,0,0,0,14.1,0,0
1,5,17,0,0,0,0,14.1,0,0
1,5,18,0,0,0,0,14.1,0,0
1,5,19,0,0,0,0,14.1,0,0
1,5,20,0,0,0,0,14.1,0,0
1,5,21,0,0,0,0,14.1,0,0
1,5,22,0,0,0,0,14.1,0,0
1,5,23,0,0,0,0,14.1,0,0
1,5,24,0,0,0,0,14.1,0,0
1,6,1,0,0,0,0,14.1,0,0
1,6,2,0,0,0,0,14.1,0,0
1,6,3,0,0,0,0,14.1,0,0
1,6,4,0,0,0,0,14.1,0,0
1,6,5,0,0,0,0,14.1,0,0
1,6,6,0,0,0,0,14.1,0,0
1,6,7,0,0,0,0,14.1,0,0
1,6,8,0,0,0,0,14.1,0,0
1,6,9,0,0,0,0,14.1,0,0
1,6,10,0,0,0,0,14.1,0,0
1,6,11,0,0,0,0,14.1,0,0
1,6,12,0,0,0,0,14.1,0,0
1,6,13,0,0,0,0,14.1,0,0
1,6,14,0,0,0,0,14.1,0,0
1,6,15,0,0,0,0,14.1,0,0
1,6,16,0,0,0,0,14.1,0,0
1,6,17,0,0,0,0,14.1,0,0
1,6,18,0,0,0,0,14.1,0,0
1,6,19,0,0,0,0,14.1,0,0
1,6,20,0,0,0,0,14.1,0,0
1,6,21,0,0,0,0,14.1,0,0
1,6,22,0,0,0,0,14.1,0,0
1,6,23,0,0,0,0,14.1,0,0
1,6,24,0,0,0,0,14.1,0,0
1,7,1,0,0,0,0,14.1,0,0
1,7,2,0,0,0,0,14.1,0,0
1,7,3,0,0,0,0,14.1,0,0
1,7,4,0,0,0,0,14.1,0,0
1,7,5,0,0,0,0,14.1,0,0
1,7,6,0,0,0,0,14.1,0,0
1,7,7,0,0,0,0,14.1,0,0
1,7,8,0,0,0,0,14.1,0,0
1,7,9,0,0,0,0,14.1,0,0
1,7,10,0,0,0,0,14.1,0,0
1,7,11,0,0,0,0,14.1,0,0
1,7,12,0,0,0,0,14.1,0,0
1,7,13,0,0,0,0,14.1,0,0
1,7,14,0,0,0,0,14.1,0,0
1,7,15,0,0,0,0,14.1,0,0
1,7,16,0,0,0,0,14.1,0,0
1,7,17,0,0,0,0,14.1,0,0
1,7,18,0,0,0,0,14.1,0,0
1,7,19,0,0,0,0,14.1,0,0
1,7,20,0,0,0,0,14.1,0,0
1,7,21,0,0,0,0,14.1,0,0
1,7,22,0,0,0,0,14.1,0,0
1,7,23,0,0,0,0,14.1,0,0
1,7,24,0,0,0,0,14.1,0,0
1,8,1,0,0,0,0,14.1,0,0
1,8,2,0,0,0,0,14.1,0,0
1,8,3,0,0,0,0,14.1,0,0
1,8,4,0,0,0,0,14.1,0,0
1,8,5,0,0,0,0,14.1,0,0
1,8,6,0,0,0,0,14.1,0,0
1,8,7,0,0,0,0,14.1,0,0
1,8,8,0,0,0,0,14.1,0,0
1,8,9,0,0,0,0,14.1,0,0
1,8,10,0,0,0,0,14.1,0,0
1,8,11,0,0,0,0,14.1,0,0
1,8,12,0,0,0,0,14.1,0,0
1,8,13,0,0,0,0,14.1,0,0
1,8,14,0,0,0,0,14.1,0,0
1,8,15,0,0,0,0,14.1,0,0
1,8,16,0,0,0,0,14.1,0,0
1,8,17,0,0,0,0,14.1,0,0
1,8,18,0,0,0,0,14.1,0,0
1,8,19,0,0,0,0,14.1,0,0
1,8,20,0,0,0,0,14.1,0,0
1,8,21,0,0,0,0,14.1,0,0
1,8,22,0,0,0,0,14.1,0,0
1,8,23,0,0,0,0,14.1,0,0
1,8,24,0,0,0,0,14.1,0,0
1,9,1,0,0,0,0,14.1,0,0
1,9,2,0,0,0,0,14.1,0,0
1,9,3,0,0,0,0,14.1,0,0
1,9,4,0,0,0,0,14.1,0,0
1,9,5,0,0,0,0,14.1,0,0
1,9,6,0,0,0,0,14.1,0,0
1,9,7,0,0,0,0,14.1,0,0
1,9,8,0,0,0,0,14.1,0,0
1,9,9,0,0,0,0,14.1,0,0
1,9,10,0,0,0,0,14.1,0,0
1,9,11,0,0,0,0,14.1,0,0
1,9,12,0,0,0,0,14.1,0,0
1,9,13,0,0,0,0,14.1,0,0
1,9,14,0,0,0,0,14.1,0,0
1,9,15,0,0,0,0,14.1,0,0
1,9,16,0,0,0,0,14.1,0,0
1,9,17,0,0,0,0,14.1,0,0
1,9,18,0,0,0,0,14.1,0,0
1,9,19,0,0,0,0,14.1,0,0
1,9,20,0,0,0,0,14.1,0,0
1,9,21,0,0,0,0,14.1,0,0
1,9,22,0,0,0,0,14.1,0,0
1,9,23,0,0,0,0,14.1,0,0
1,9,24,0,0,0,0,14.1,0,0
1,10,1,0,0,0,0,14.1,0,0
1,10,2,0,0,0,0,14.1,0,0
1,10,3,0,0,0,0,14.1,0,0
1,10,4,0,0,0,0,14.1,0,0
1,10,5,0,0,0,0,14.1,0,0
1,10,6,0,0,0,0,14.1,0,0
1,10,7,0,0,0,0,14.1,0,0
1,10,8,0,0,0,0,14.1,0,0
1,10,9,0,0,0,0,14.1,0,0
1,10,10,0,0,0,0,14.1,0,0
1,10,11,0,0,0,0,14.1,0,0
1,10,12,0,0,0,0,14.1,0,0
1,10,13,0,0,0,0,14.1,0,0
1,10,14,0,0,0,0,14.1,0,0
1,10,15,0,0,0,0,14.1,0,0
1,10,16,0,0,0,0,14.1,0,0
1,10,17,0,0,0,0,14.1,0,0
1,10,18,0,0,0,0,14.1,0,0
1,10,19,0,0,0,0,14.1,0,0
1,10,20,0,0,0,0,14.1,0,0
1,10,21,0,0,0,0,14.1,0,0
1,10,22,0,0,0,0,14.1,0,0
1,10,23,0,0,0,0,14.1,0,0
1,10,24,0,0,0,0,14.1,0,0
1,11,1,0,0,0,0,14.1,0,0
1,11,2,0,0,0,0,14.1,0,0
1,11,3,0,0,0,0,14.1,0,0
1,11,4,0,0,0,0,14.1,0,0
1,11,5,0,0,0,0,14.1,0,0
1,11,6,0,0,0,0,14.1,0,0
1,11,7,0,0,0,0,14.1,0,0
1,11,8,0,0,0,0,14.1,0,0
1,11,9,0,0,0,0,14.1,0,0
1,11,10,0,0,0,0,14.1,0,0
1,11,11,0,0,0,0,14.1,0,0
1,11,12,0,0,0,0,14.1,0,0
1,11,13,0,0,0,0,14.1,0,0
1,11,14,0,0,0,0,14.1,0,0
1,11,15,0,0,0,0,14.1,0,0
1,11,16,0,0,0,0,14.1,0,0
1,11,17,0,0,0,0,14.1,0,0
1,11,18,0,0,0,0,14.1,0,0
1,11,19,0,0,0,0,14.1,0,0
1,11,20,0,0,0,0,14.1,0,0
1,11,21,0,0,0,0,14.1,0,0
1,11,22,0,0,0,0,14.1,0,0
1,11,23,0,0,0,0,14.1,0,0
1,11,24,0,0,0,0,14.1,0,0
1,12,1,0,0,0,0,14.1,0,0
1,12,2,0,0,0,0,14.1,0,0
1,12,3,0,0,0,0,14.1,0,0
1,12,4,0,0,0,0,14.1,0,0
1,12,5,0,0,0,0,14.1,0,0
1,12,6,0,0,0,0,14.1,0,0
1,12,7,0,0,0,0,14.1,0,0
1,12,8,0,0,0,0,14.1,0,0
1,12,9,0,0,0,0,14.1,0,0
1,12,10,0,0,0,0,14.1,0,0
1,12,11,0,0,0,0,14.1,0,0
1,12,12,0,0,0,0,14.1,0,0
1,12,13,0,0,0,0,14.1,0,0
1,12,14,0,0,0,0,14.1,0,0
1,12,15,0,0,0,0,14.1,0,0
1,12,16,0,0,0,0,14.1,0,0
1,12,17,0,0,0,0,14.1,0,0
1,12,18,0,0,0,0,14.1,0,0
1,12,19,0,0,0,0,14.1,0,0
1,12,20,0,0,0,0,14.1,0,0
1,12,21,0,0,0,0,14.1,0,0
1,12,22,0,0,0,0,14.1,0,0
1,12,23,0,0,0,0,14.1,0,0
1,12,24,0,0,0,0,14.1,0,0
1,13,1,0,0,0,0,14.1,0,0
1,13,2,0,0,0,0,14.1,0,0
1,13,3,0,0,0,0,14.1,0,0
1,13,4,0,0,0,0,14.1,0,0
1,13,5,0,0,0,0,14.1,0,0
1,13,6,0,0,0,0,14.1,0,0
1,13,7,0,0,0,0,14.1,0,0
1,13,8,0,0,0,0,14.1,0,0
1,13,9,0,0,0,0,14.1,0,0
1,13,10,0,0,0,0,14.1,0,0
1,13,11,0,0,0,0,14.1,0,0
1,13,12,0,0,0,0,14.1,0,0
1,13,13,0,0,0,0,14.1,0,0
1,13,14,0,0,0,0,14.1,0,0
1,13,15,0,0,0,0,14.1,0,0
1,13,16,0,0,0,0,14.1,0,0
1,13,17,0,0,0,0,14.1,0,0
1,13,18,0,0,0,0,14.1,0,0
1,13,19,0,0,0,0,14.1,0,0
1,13,20,0,0,0,0,14.1,0,0
1,13,21,0,0,0,0,14.1,0,0
1,13,22,0,0,0,0,14.1,0,0
1,13,23,0,0,0,0,14.1,0,0
1,13,24,0,0,0,0,14.1,0,0
1,14,1,0,0,0,0,14.1,0,0
1,14,2,0,0,0,0,14.1,0,0
1,14,3,0,0,0,0,14.1,0,0
1,14,4,0,0,0,0,14.1,0,0
1,14,5,0,0,0,0,14.1,0,0
1,14,6,0,0,0,0,14.1,0,0
1,14,7,0,0,0,0,14.1,0,0
1,14,8,0,0,0,0,14.1,0,0
1,14,9,0,0,0,0,14.1,0,0
1,14,10,0,0,0,0,14.1,0,0
1,14,11,0,0,0,0,14.1,0,0
1,14,12,0,0,0,0,14.1,0,0
1,14,13,0,0,0,0,14.1,0,0
1,14,14,0,0,0,0,14.1,0,0
1,14,15,0,0,0,0,14.1,0,0
1,14,16,0,0,0,0,14.1,0,0
1,14,17,0,0,0,0,14.1,0,0
1,14,18,0,0,0,0,14.1,0,0
1,14,19,0,0,0,0,14.1,0,0
1,14,20,0,0,0,0,14.1,0,0
1,14,21,0,0,0,0,14.1,0,0
1,14,22,0,0,0,0,14.1,0,0
1,14,23,0,0,0,0,14.1,0,0
1,14,24,0,0,0,0,14.1,0,0
1,15,1,0,0,0,0,14.1,0,0
1,15,2,0,0,0,0,14.1,0,0
1,15,3,0,0,0,0,14.1,0,0
1,15,4,0,0,0,0,14.1,0,0
1,15,5,0,0,0,0,14.1,0,0
1,15,6,0,0,0,0,14.1,0,0
1,15,7,0,0,0,0,14.1,0,0
1,15,8,0,0,0,0,14.1,0,0
1,15,9,0,0,0,0,14.1,0,0
1,15,10,0,0,0,0,14.1,0,0
1,15,11,0,0,0,0,14.1,0,0
1,15,12,0,0,0,0,14.1,0,0
1,15,13,0,0,0,0,14.1,0,0
1,15,14,0,0,0,0,14.1,0,0
1,15,15,0,0,0,0,14.1,0,0
1,15,16,0,0,0,0,14.1,0,0
