"MF88 Individual Supply + Individual Exhaust (ERV, WSHP)  /  Standard  /  EX03_MF88_Central-WSHP_CZ09.cibd25x",003
"Wed 23-Sep-26   1:44:09 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",173.372,0,7.80353,0.0399747,45.0832,0,0.163783,0,0.0000691,9.70958,11.4619,6.08622,0,5.8374,51.3333,0,15.3069,0,18.5615,0,1.13058,0,0.854092,0,0
"MtrElec",1,1,2,"",115.882,0,8.85362,0.072816,4.1191,0,0.163783,0,0.0241539,9.70958,11.4619,6.08538,0,4.8222,47.2797,0,14.5707,2.47506,0,0,0.904462,0,5.33906,0,0
"MtrElec",1,1,3,"",107.781,0,9.523,0.0210457,0,0,0.163783,0,0.0813313,9.70958,11.4619,6.07921,0,3.807,44.8524,0,14.2737,0,0,0,0.678346,0,7.12977,0,0
"MtrElec",1,1,4,"",111.822,0,10.535,0.859689,1.41972,0,0.163783,0,0.150026,9.70958,11.4619,6.06492,0,4.3146,44.7245,0,13.9109,0,0,0,0.678346,0,7.82861,0,0
"MtrElec",1,1,5,"",109.328,0,11.234,1.13253,0,0,0.163783,0,0.206085,9.70958,11.4619,6.05011,0,5.3298,42.5129,0,13.4558,0,0,0,0.678346,0,7.39345,0,0
"MtrElec",1,1,6,"",136.263,0,11.7484,1.48556,25.0558,0,0.163783,0,0.226584,9.70958,11.4619,6.0398,0,7.8678,46.3646,0,13.3747,0,0,0,1.13058,0,1.63376,0,0
"MtrElec",1,1,7,"",206.426,0,11.9512,1.90209,82.9549,0,0.163783,0,0.193146,9.70958,11.4619,6.03581,0,10.6596,52.2089,0,13.7048,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",233.253,0,10.9754,1.70276,82.5875,0,0.163783,0,0.162953,9.70958,11.4619,6.04219,0,10.4058,56.9195,0,14.8486,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",266.657,0,9.01097,0.480742,81.3901,0,0.163783,0,0.112152,9.70958,11.4619,6.05131,0,8.6292,53.744,0,16.7847,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",301.977,0,6.87247,0,82.8971,0,0.163783,0,0.0652058,9.70958,11.462,0.111375,0,7.3602,51.7744,0,16.4607,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",379.878,0,4.65124,0,86.5578,0,0.163783,0,0.0120424,9.70958,11.462,0,0,6.8526,52.8005,0,16.2239,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",340.83,0,3.49833,0,83.1926,0,0.163783,0,0.0183816,9.70958,11.4621,0,0,6.345,52.0002,0,16.5897,4.96314,130.077,10.3739,12.4363,0,0,0,0
"MtrElec",1,1,13,"",304.506,0,2.38805,0,83.983,0,0.163783,0,0.0102547,9.70958,11.4623,0,0,5.3298,53.1487,0,16.9371,10.9151,87.6841,8.52904,14.2453,0,0,0,0
"MtrElec",1,1,14,"",189.549,0,1.65718,0,0,0,0.163783,0,0,9.70958,11.4626,0,0,5.3298,54.647,0,17.1563,0,72.0906,3.99134,13.3408,0,0,0,0
"MtrElec",1,1,15,"",212.13,0,1.24183,0,60.4536,0,0.163783,0,0,9.70958,11.4627,0,0,5.3298,57.1222,0,16.9201,0,33.7363,1.97117,14.0191,0,0,0,0
"MtrElec",1,1,16,"",158.023,0,1.34616,0,13.0308,0,0.163783,0,0,9.70958,11.4627,0,0,6.5988,59.8622,0,17.2819,0,16.6611,6.53062,15.3758,0,0,0,0
"MtrElec",1,1,17,"",249.328,0,2.22666,0,50.5553,0,0.163783,0,0,9.70958,11.4622,0,0,7.8678,66.6719,0,17.0211,0,55.1992,7.87351,20.5765,0,0,0,0
"MtrElec",1,1,18,"",319.125,0,3.4867,0,79.6055,0,0.163783,0,0,9.70958,11.4621,0,0,11.1672,74.336,0,17.9937,3.64801,66.5499,9.57232,31.43,0,0,0,0
"MtrElec",1,1,19,"",350.318,0,4.28045,0,84.4921,0,0.163783,0,0,9.70958,11.4621,0.0161884,0,21.3192,79.8369,0,19.258,5.70828,80.9088,3.99394,29.1689,0,0,0,0
"MtrElec",1,1,20,"",278.881,0,4.59597,0,58.6994,0,0.163783,0,0,9.70958,11.4621,0.315166,0,29.6946,82.9684,0,18.9001,10.4467,33.7583,1.88629,16.2803,0,0,0,0
"MtrElec",1,1,21,"",225.805,0,4.56847,0,40.0595,0,0.163783,0,0,9.70958,11.4621,0.289361,0,28.6794,86.0232,0,18.4262,1.1769,15.9436,2.06695,7.23569,0,0,0,0
"MtrElec",1,1,22,"",262.862,0,4.66045,0,84.2535,0,0.163783,0,0.0153094,9.70958,11.4621,0,0,24.3648,85.0899,0,17.6808,1.2979,17.4706,3.52809,3.16561,0,0,0,0
"MtrElec",1,1,23,"",199.984,0,5.7985,0,27.0625,0,0.163783,0,0.0459484,9.70958,11.4621,0.0144681,0,15.9894,73.9478,0,16.3398,4.94855,29.8207,2.64597,2.03504,0,0,0,0
"MtrElec",1,1,24,"",148.88,0,7.21499,0,2.46101,0,0.163783,0,0.0933679,9.70958,11.462,0.264649,0,9.8982,62.7554,0,16.4112,4.95004,22.3647,0,1.13058,0,0,0,0
"MtrElec",1,2,1,"",115.423,0,8.61316,0,0.757472,0,0.163783,0,0.133377,9.70958,11.462,6.06377,0,5.8374,51.197,0,14.7735,2.47455,0,0,1.13058,0,3.10721,0,0
"MtrElec",1,2,2,"",112.228,0,9.12384,0,0,0,0.163783,0,0.15229,9.70958,11.462,6.05676,0,4.8222,46.7506,0,14.3587,1.69764,0,0,0.904462,0,7.02662,0,0
"MtrElec",1,2,3,"",155.062,0,9.48977,0,46.8986,0,0.163783,0,0.182526,9.70958,11.462,6.05302,0,3.807,44.988,0,13.8726,3.25256,0,0.385447,0.904462,0,3.89215,0,0
"MtrElec",1,2,4,"",113.429,0,10.603,0,1.16782,0,0.163783,0,0.251608,9.70958,11.462,6.04627,0,4.3146,44.7238,0,13.647,0,3.25794,0.496546,0.904462,0,6.6809,0,0
"MtrElec",1,2,5,"",112.779,0,10.9657,0,1.51189,0,0.163783,0,0.281058,9.70958,11.462,6.02798,0,5.3298,42.6485,0,13.2721,0,4.19699,0,0.904462,0,6.30527,0,0
"MtrElec",1,2,6,"",114.02,0,9.85191,0,2.51044,0,0.163783,0,0.208256,9.70958,11.462,6.01967,0,7.8678,46.6061,0,13.7455,0,0,0,3.16561,0,2.7092,0,0
"MtrElec",1,2,7,"",199.652,0,8.79975,0,78.0033,0,0.163783,0,0.15143,9.70958,11.462,6.03711,0,10.6596,54.526,0,15.3748,0,0,0.468189,4.29619,0,0,0,0
"MtrElec",1,2,8,"",223.624,0,9.06358,0,81.3881,0,0.163783,0,0.192436,9.70958,11.462,6.05084,0,10.4058,60.4814,0,16.8045,2.58527,3.95731,5.70603,5.65288,0,0,0,0
"MtrElec",1,2,9,"",267.761,0,7.9582,0,84.3367,0,0.163783,0,0.245344,9.70958,11.4618,6.06581,0,8.6292,59.3392,0,16.3244,6.10072,48.2295,3.31761,5.879,0,0,0,0
"MtrElec",1,2,10,"",244.206,0,6.43924,0,83.0291,0,0.163783,0,0.256737,9.70958,11.4619,0,0,7.3602,58.8664,0,15.1482,9.3224,28.0416,9.43204,4.97454,0,0,0,0
"MtrElec",1,2,11,"",261.049,0,5.47653,0,56.3076,0,0.163783,0,0.182572,9.70958,11.462,0,0,6.8526,59.1677,0,14.7362,5.7197,79.7231,6.79933,4.74842,0,0,0,0
"MtrElec",1,2,12,"",246.001,0,4.45258,0,69.6134,0,0.163783,0,0.153313,9.70958,11.462,0,0,6.345,59.1677,0,14.8986,5.26854,57.4705,0.738297,6.55734,0,0,0,0
