"MF88 Individual Supply + Individual Exhaust (ERV, WSHP)  /  Standard (PV-Batt only)  /  EX03_MF88_Central-WSHP_CZ09.cibd25x",001
"Wed 23-Sep-26   1:48:06 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",232.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.092,0,0,0
"MtrElec",1,1,2,"",175.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.582,0,0,0
"MtrElec",1,1,3,"",166.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.517,0,0,0
"MtrElec",1,1,4,"",170.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.533,0,0,0
"MtrElec",1,1,5,"",168.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.995,0,0,0
"MtrElec",1,1,6,"",194.968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.968,0,0,0
"MtrElec",1,1,7,"",265.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.138,0,0,0
"MtrElec",1,1,8,"",195.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.61,0,0,-98.6962
"MtrElec",1,1,9,"",40.1642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.73,0,0,-299.566
"MtrElec",1,1,10,"",-85.6781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374.117,0,0,-459.795
"MtrElec",1,1,11,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493.102,0,66.8191,-559.921
"MtrElec",1,1,12,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454.743,0,142.604,-597.347
"MtrElec",1,1,13,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.237,0,139.654,-580.891
"MtrElec",1,1,14,"",0.0000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326.196,0,30.0496,-356.245
"MtrElec",1,1,15,"",56.4899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348.584,0,0,-292.094
"MtrElec",1,1,16,"",116.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.858,0,0,-178.684
"MtrElec",1,1,17,"",364.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386.575,0,0,-21.7079
"MtrElec",1,1,18,"",434.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.403,0,0,0
"MtrElec",1,1,19,"",215.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.927,0,-223.217,0
"MtrElec",1,1,20,"",226.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.841,0,-118.945,0
"MtrElec",1,1,21,"",291.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.531,0,0,0
"MtrElec",1,1,22,"",326.497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326.497,0,0,0
"MtrElec",1,1,23,"",259.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.777,0,0,0
"MtrElec",1,1,24,"",207.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.582,0,0,0
"MtrElec",1,2,1,"",174.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.088,0,0,0
"MtrElec",1,2,2,"",170.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.916,0,0,0
"MtrElec",1,2,3,"",213.739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.739,0,0,0
"MtrElec",1,2,4,"",171.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.162,0,0,0
"MtrElec",1,2,5,"",171.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.444,0,0,0
"MtrElec",1,2,6,"",171.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.794,0,0,0
"MtrElec",1,2,7,"",268.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.732,0,0,0
"MtrElec",1,2,8,"",311.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.584,0,0,-2.07862
"MtrElec",1,2,9,"",346.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.576,0,0,-49.211
"MtrElec",1,2,10,"",369.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.273,0,0,-52.2181
"MtrElec",1,2,11,"",371.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.828,0,0,-69.7738
"MtrElec",1,2,12,"",347.844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.096,0,0,-85.2517
"MtrElec",1,2,13,"",246.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337.664,0,0,-90.6851
"MtrElec",1,2,14,"",317.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.622,0,0,-45.0658
"MtrElec",1,2,15,"",285.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335.579,0,0,-50.4776
"MtrElec",1,2,16,"",354.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374.407,0,0,-20.2978
"MtrElec",1,2,17,"",369.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370.835,0,0,-1.32139
"MtrElec",1,2,18,"",471.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.459,0,0,0
"MtrElec",1,2,19,"",388.783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388.783,0,0,0
"MtrElec",1,2,20,"",428.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.415,0,0,0
"MtrElec",1,2,21,"",464.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.771,0,0,0
"MtrElec",1,2,22,"",349.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349.212,0,0,0
"MtrElec",1,2,23,"",329.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.342,0,0,0
"MtrElec",1,2,24,"",257.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.681,0,0,0
"MtrElec",1,3,1,"",193.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.651,0,0,0
"MtrElec",1,3,2,"",179.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.94,0,0,0
"MtrElec",1,3,3,"",179.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.062,0,0,0
"MtrElec",1,3,4,"",214.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.462,0,0,0
"MtrElec",1,3,5,"",224.295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.295,0,0,0
"MtrElec",1,3,6,"",183.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.303,0,0,0
"MtrElec",1,3,7,"",214.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.507,0,0,0
"MtrElec",1,3,8,"",325.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.169,0,0,0
"MtrElec",1,3,9,"",277.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.439,0,0,-20.5803
"MtrElec",1,3,10,"",349.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.496,0,0,-54.3055
"MtrElec",1,3,11,"",330.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493.423,0,0,-162.741
"MtrElec",1,3,12,"",219.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442.773,0,0,-222.906
"MtrElec",1,3,13,"",210.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.856,0,0,-256.721
"MtrElec",1,3,14,"",71.2396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.365,0,0,-363.126
"MtrElec",1,3,15,"",156.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469.388,0,0,-313.384
"MtrElec",1,3,16,"",252.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.768,0,0,-98.1877
"MtrElec",1,3,17,"",397.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.205,0,0,-10.9367
"MtrElec",1,3,18,"",403.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.042,0,0,0
"MtrElec",1,3,19,"",466.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.624,0,0,0
"MtrElec",1,3,20,"",422.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.556,0,0,0
"MtrElec",1,3,21,"",338.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.867,0,0,0
"MtrElec",1,3,22,"",369.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.238,0,0,0
"MtrElec",1,3,23,"",232.986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.986,0,0,0
"MtrElec",1,3,24,"",278.597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.597,0,0,0
"MtrElec",1,4,1,"",186.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.901,0,0,0
"MtrElec",1,4,2,"",180.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.979,0,0,0
"MtrElec",1,4,3,"",181.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.195,0,0,0
"MtrElec",1,4,4,"",187.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.289,0,0,0
"MtrElec",1,4,5,"",221.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.914,0,0,0
"MtrElec",1,4,6,"",193.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.747,0,0,0
"MtrElec",1,4,7,"",267.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.432,0,0,0
"MtrElec",1,4,8,"",139.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.953,0,0,-102.593
"MtrElec",1,4,9,"",13.5075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.35,0,0,-298.843
"MtrElec",1,4,10,"",-99.4505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351.328,0,0,-450.778
"MtrElec",1,4,11,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414.503,0,128.289,-542.793
"MtrElec",1,4,12,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418.031,0,180.682,-598.713
"MtrElec",1,4,13,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.347,0,158.712,-598.059
"MtrElec",1,4,14,"",0.0000078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.044,0,123.136,-531.18
"MtrElec",1,4,15,"",0.0000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404.956,0,14.9766,-419.933
"MtrElec",1,4,16,"",83.5571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.243,0,0,-263.686
"MtrElec",1,4,17,"",277.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.847,0,0,-70.3947
"MtrElec",1,4,18,"",356.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356.541,0,0,0
"MtrElec",1,4,19,"",217.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.057,0,-223.217,0
"MtrElec",1,4,20,"",123.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.042,0,-223.217,0
"MtrElec",1,4,21,"",192.694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292.991,0,-100.296,0
"MtrElec",1,4,22,"",306.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306.306,0,0,0
"MtrElec",1,4,23,"",213.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.853,0,0,0
"MtrElec",1,4,24,"",244.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.488,0,0,0
"MtrElec",1,5,1,"",177.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.908,0,0,0
"MtrElec",1,5,2,"",169.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.662,0,0,0
"MtrElec",1,5,3,"",173.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.2,0,0,0
"MtrElec",1,5,4,"",180.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.389,0,0,0
"MtrElec",1,5,5,"",178.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.069,0,0,0
"MtrElec",1,5,6,"",231.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.337,0,0,0
"MtrElec",1,5,7,"",249.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.406,0,0,0
"MtrElec",1,5,8,"",307.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.106,0,0,-21.9508
"MtrElec",1,5,9,"",164.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389.653,0,0,-224.674
"MtrElec",1,5,10,"",54.6608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.139,0,0,-396.479
"MtrElec",1,5,11,"",28.8954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.757,0,0,-478.862
"MtrElec",1,5,12,"",44.3324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.231,0,0,-408.899
"MtrElec",1,5,13,"",138.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462.062,0,0,-323.949
"MtrElec",1,5,14,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364.072,0,39.2912,-403.363
"MtrElec",1,5,15,"",180.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393.74,0,0,-212.756
