"MF88 Individual Supply + Individual Exhaust (ERV, WSHP)  /  Proposed  /  EX03_MF88_Central-WSHP_CZ09.cibd25x",002
"Wed 23-Sep-26   1:44:07 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",174.48,0,3.0949,0.0170028,51.7903,0,0.163783,0,0,8.32765,10.9968,5.68053,0,5.8374,51.3333,0,16.6883,0,18.5615,0,1.13058,0,0.858069,0,0
"MtrElec",1,1,2,"",105.877,0,3.62586,0.0193332,0,0,0.163783,0,0,8.32765,10.9968,5.67137,0,4.8222,47.2797,0,15.8556,2.47506,0,0,0.904462,0,5.73508,0,0
"MtrElec",1,1,3,"",102.003,0,4.28892,0.0399253,0,0,0.163783,0,0,8.32765,10.9967,5.61023,0,3.807,44.8524,0,15.5659,0,0,0,0.678346,0,7.67176,0,0
"MtrElec",1,1,4,"",104.019,0,5.09171,0.506396,0,0,0.163783,0,0,8.32765,10.9967,5.58238,0,4.3146,44.7245,0,15.2045,0,0,0,0.678346,0,8.42876,0,0
"MtrElec",1,1,5,"",106.185,0,5.83915,0.704049,3.19085,0,0.163783,0,0,8.32765,10.9966,5.55094,0,5.3298,42.5129,0,14.9363,0,0,0,0.678346,0,7.95463,0,0
"MtrElec",1,1,6,"",167.973,0,6.4102,0.970474,63.5499,0,0.163783,0,0,8.32765,10.9966,5.54554,0,7.8678,46.3646,0,14.9167,0,0,0,1.13058,0,1.72877,0,0
"MtrElec",1,1,7,"",154.305,0,6.93956,1.29556,37.1627,0,0.163783,0,0,8.32765,10.9966,5.54554,0,10.6596,52.2089,0,15.5247,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",224.218,0,6.17871,1.10637,79.7122,0,0.163783,0,0,8.32765,10.9966,5.54554,0,10.4058,56.9195,0,16.589,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",319.331,0,4.73914,0.301029,139.814,0,0.163783,0,0,8.32765,10.9966,5.5766,0,8.6292,53.744,0,17.9207,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",330.23,0,3.25078,0,115.127,0,0.163783,0,0,8.32765,10.9966,0.132024,0,7.3602,51.7744,0,17.9977,6.04963,79.8101,18.3867,10.8535,0,0,0,0
