"MF88 Individual Supply + Individual Exhaust (ERV, WSHP)  /  Proposed (PV-Batt only)  /  EX03_MF88_Central-WSHP_CZ09.cibd25x",001
"Wed 23-Sep-26   1:48:06 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",233.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.219,0,0,0
"MtrElec",1,1,2,"",165.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.61,0,0,0
"MtrElec",1,1,3,"",160.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.759,0,0,0
"MtrElec",1,1,4,"",162.752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.752,0,0,0
"MtrElec",1,1,5,"",165.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.882,0,0,0
"MtrElec",1,1,6,"",226.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.689,0,0,0
"MtrElec",1,1,7,"",213.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.049,0,0,0
"MtrElec",1,1,8,"",187.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.436,0,0,-98.247
"MtrElec",1,1,9,"",97.7014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.904,0,0,-298.202
"MtrElec",1,1,10,"",-54.3808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.322,0,0,-457.703
"MtrElec",1,1,11,"",0.0000078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.446,0,129.927,-557.373
"MtrElec",1,1,12,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498.439,0,96.1895,-594.628
"MtrElec",1,1,13,"",0.0000156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.853,0,156.395,-578.248
"MtrElec",1,1,14,"",0.0000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.627,0,29.9972,-354.624
"MtrElec",1,1,15,"",46.6152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337.38,0,0,-290.765
"MtrElec",1,1,16,"",135.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.84,0,0,-177.871
"MtrElec",1,1,17,"",352.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373.831,0,0,-21.6091
"MtrElec",1,1,18,"",413.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413.33,0,0,0
"MtrElec",1,1,19,"",231.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.194,0,-221.926,0
"MtrElec",1,1,20,"",204.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.467,0,-150.363,0
"MtrElec",1,1,21,"",334.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.223,0,0,0
"MtrElec",1,1,22,"",291.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.6,0,0,0
"MtrElec",1,1,23,"",231.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.984,0,0,0
"MtrElec",1,1,24,"",255.865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.865,0,0,0
"MtrElec",1,2,1,"",167.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.796,0,0,0
"MtrElec",1,2,2,"",165.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.193,0,0,0
"MtrElec",1,2,3,"",160.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.894,0,0,0
"MtrElec",1,2,4,"",163.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.781,0,0,0
"MtrElec",1,2,5,"",163.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.899,0,0,0
"MtrElec",1,2,6,"",210.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.091,0,0,0
"MtrElec",1,2,7,"",263.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.268,0,0,0
"MtrElec",1,2,8,"",354.708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356.777,0,0,-2.06916
"MtrElec",1,2,9,"",340.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389.315,0,0,-48.987
"MtrElec",1,2,10,"",366.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418.622,0,0,-51.9805
"MtrElec",1,2,11,"",412.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482.361,0,0,-69.4563
"MtrElec",1,2,12,"",282.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367.013,0,0,-84.8637
"MtrElec",1,2,13,"",281.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.691,0,0,-90.2724
"MtrElec",1,2,14,"",308.637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353.498,0,0,-44.8607
"MtrElec",1,2,15,"",280.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.496,0,0,-50.2479
"MtrElec",1,2,16,"",338.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.933,0,0,-20.2054
"MtrElec",1,2,17,"",401.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.554,0,0,-1.31538
"MtrElec",1,2,18,"",395.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.047,0,0,0
"MtrElec",1,2,19,"",431.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431.776,0,0,0
"MtrElec",1,2,20,"",427.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.081,0,0,0
"MtrElec",1,2,21,"",450.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.856,0,0,0
"MtrElec",1,2,22,"",360.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.697,0,0,0
"MtrElec",1,2,23,"",314.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.322,0,0,0
"MtrElec",1,2,24,"",216.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.565,0,0,0
"MtrElec",1,3,1,"",233.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.501,0,0,0
"MtrElec",1,3,2,"",168.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.697,0,0,0
"MtrElec",1,3,3,"",166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0
"MtrElec",1,3,4,"",167.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.759,0,0,0
"MtrElec",1,3,5,"",200.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.448,0,0,0
"MtrElec",1,3,6,"",222.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.829,0,0,0
"MtrElec",1,3,7,"",192.213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.213,0,0,0
"MtrElec",1,3,8,"",287.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.817,0,0,0
"MtrElec",1,3,9,"",306.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.12,0,0,-20.4866
"MtrElec",1,3,10,"",381.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435.601,0,0,-54.0584
