"MF88 Individual Supply + Individual Exhaust (ERV, WSHP)  /  Proposed-x  /  EX03_MF88_Central-WSHP_CZ09.cibd25x",003
"Wed 23-Sep-26   1:39:14 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",147.217,0,29.2842,0,1.03985,0,0.163783,0,0.00325256,9.70958,8.10442,5.8628,0,5.8374,51.3333,0,15.2763,0,18.5615,0,1.13058,0,0.910364,0,0
"MtrElec",1,1,2,"",226.012,0,32.031,0,94.7316,0,0.163783,0,0.0292904,9.70958,8.10442,5.86197,0,4.8222,47.2797,0,14.5428,2.47506,0,0,0.904462,0,5.35639,0,0
"MtrElec",1,1,3,"",128.026,0,33.3834,0,0,0,0.163783,0,0.103268,9.70958,8.10442,5.85529,0,3.807,44.8524,0,14.2461,0,0,0,0.678346,0,7.12201,0,0
"MtrElec",1,1,4,"",131.942,0,35.101,0,1.4211,0,0.163783,0,0.175511,9.70958,8.10441,5.83712,0,4.3146,44.7245,0,13.8838,0,0,0,0.678346,0,7.82817,0,0
"MtrElec",1,1,5,"",129.611,0,36.255,0,0,0,0.163783,0,0.223212,9.70958,8.10441,5.8228,0,5.3298,42.5129,0,13.4252,0,0,0,0.678346,0,7.38629,0,0
"MtrElec",1,1,6,"",134.195,0,37.4354,0,2.43294,0,0.163783,0,0.24287,9.70958,8.1044,5.81384,0,7.8678,46.3646,0,13.3432,0,0,0,1.13058,0,1.58574,0,0
"MtrElec",1,1,7,"",242.098,0,38.5218,0,97.542,0,0.163783,0,0.22956,9.70958,8.1044,5.80956,0,10.6596,52.2089,0,13.6679,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",214.416,0,35.4515,0,44.5903,0,0.163783,0,0.175478,9.70958,8.10439,5.80804,0,10.4058,56.9195,0,14.8142,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",323.519,0,30.3255,0,121.015,0,0.163783,0,0.120543,9.70958,8.10442,5.82567,0,8.6292,53.744,0,16.7626,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",291.91,0,24.1987,0,58.9982,0,0.163783,0,0.0706568,9.70958,8.10445,0,0,7.3602,51.7744,0,16.4305,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",414.126,0,17.5617,0,111.278,0,0.163783,0,0.0157401,9.70958,8.10447,0,0,6.8526,52.8005,0,16.1956,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",360.278,0,13.5632,0,95.9619,0,0.163783,0,0.0193063,9.70958,8.1045,0,0,6.345,52.0002,0,16.5604,4.96314,130.077,10.3739,12.4363,0,0,0,0
"MtrElec",1,1,13,"",225.551,0,9.52506,0,1.2779,0,0.163783,0,0.0110834,9.70958,8.10453,0,0,5.3298,53.1487,0,16.9067,10.9151,87.6841,8.52904,14.2453,0,0,0,0
"MtrElec",1,1,14,"",275.128,0,6.91373,0,83.7109,0,0.163783,0,0.0000265,9.70958,8.10462,0,0,5.3298,54.647,0,17.1261,0,72.0906,3.99134,13.3408,0,0,0,0
"MtrElec",1,1,15,"",154.96,0,5.57431,0,2.34027,0,0.163783,0,0,9.70958,8.10474,0,0,5.3298,57.1222,0,16.8888,0,33.7363,1.97117,14.0191,0,0,0,0
"MtrElec",1,1,16,"",244.232,0,5.95563,0,98.0121,0,0.163783,0,0,9.70958,8.10465,0,0,6.5988,59.8622,0,17.2579,0,16.6611,6.53062,15.3758,0,0,0,0
"MtrElec",1,1,17,"",201.952,0,8.7979,0,0,0,0.163783,0,0,9.70958,8.10455,0,0,7.8678,66.6719,0,16.9871,0,55.1992,7.87351,20.5765,0,0,0,0
"MtrElec",1,1,18,"",347.551,0,12.9865,0,101.92,0,0.163783,0,0,9.70958,8.10458,0,0,11.1672,74.336,0,17.9625,3.64801,66.5499,9.57232,31.43,0,0,0,0
"MtrElec",1,1,19,"",274.959,0,15.8104,0,0.997311,0,0.163783,0,0,9.70958,8.10456,0,0,21.3192,79.8369,0,19.237,5.70828,80.9088,3.99394,29.1689,0,0,0,0
"MtrElec",1,1,20,"",334.768,0,17.227,0,105.652,0,0.163783,0,0,9.70958,8.10455,0,0,29.6946,82.9684,0,18.8767,10.4467,33.7583,1.88629,16.2803,0,0,0,0
"MtrElec",1,1,21,"",299.244,0,16.9984,0,104.741,0,0.163783,0,0.00129929,9.70958,8.10455,0,0,28.6794,86.0232,0,18.3994,1.1769,15.9436,2.06695,7.23569,0,0,0,0
"MtrElec",1,1,22,"",189.168,0,17.052,0,1.54519,0,0.163783,0,0.0214982,9.70958,8.10456,0,0,24.3648,85.0899,0,17.6547,1.2979,17.4706,3.52809,3.16561,0,0,0,0
