"MF88 Individual Supply + Individual Exhaust (ERV, WSHP)  /  Proposed  /  EX03_MF88_Central-WSHP_CZ09.cibd25x",002
"Wed 23-Sep-26   1:39:13 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",180.07,0,12.2948,0,51.7908,0,0.163783,0,0,8.32765,7.77552,5.3229,0,5.8374,51.3333,0,16.6735,0,18.5615,0,1.13058,0,0.858359,0,0
"MtrElec",1,1,2,"",114.104,0,15.4567,0,0,0,0.163783,0,0,8.32765,7.77545,5.3229,0,4.8222,47.2797,0,15.8413,2.47506,0,0,0.904462,0,5.73525,0,0
"MtrElec",1,1,3,"",112.428,0,18.2769,0,0,0,0.163783,0,0,8.32765,7.7754,5.3229,0,3.807,44.8524,0,15.5513,0,0,0,0.678346,0,7.6719,0,0
"MtrElec",1,1,4,"",115.812,0,20.8863,0,0,0,0.163783,0,0,8.32765,7.77537,5.3229,0,4.3146,44.7245,0,15.1897,0,0,0,0.678346,0,8.42889,0,0
"MtrElec",1,1,5,"",118.717,0,22.541,0,3.19085,0,0.163783,0,0,8.32765,7.77537,5.3229,0,5.3298,42.5129,0,14.9192,0,0,0,0.678346,0,7.95478,0,0
"MtrElec",1,1,6,"",180.876,0,23.7462,0,63.5499,0,0.163783,0,0,8.32765,7.77536,5.3229,0,7.8678,46.3646,0,14.8988,0,0,0,1.13058,0,1.72894,0,0
"MtrElec",1,1,7,"",167.679,0,25.0734,0,37.1634,0,0.163783,0,0,8.32765,7.77535,5.3229,0,10.6596,52.2089,0,15.5036,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",235.908,0,22.4385,0,79.7127,0,0.163783,0,0,8.32765,7.77536,5.3229,0,10.4058,56.9195,0,16.5688,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",328.632,0,17.8296,0,139.814,0,0.163783,0,0,8.32765,7.77538,5.3229,0,8.6292,53.744,0,17.9075,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",336.432,0,12.8224,0,115.127,0,0.163783,0,0,8.32765,7.77541,0,0,7.3602,51.7744,0,17.9807,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",316.986,0,6.98951,0,25.0032,0,0.163783,0,0,8.32765,7.77547,0,0,6.8526,52.8005,0,17.6284,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",384.687,0,3.82206,0,130.389,0,0.163783,0,0,8.32765,7.77551,0,0,6.345,52.0002,0,18.0134,4.96314,130.077,10.3739,12.4363,0,0,0,0
"MtrElec",1,1,13,"",285.111,0,1.86127,0,68.7486,0,0.163783,0,0,8.32765,7.77551,0,0,5.3298,53.1487,0,18.3823,10.9151,87.6841,8.52904,14.2453,0,0,0,0
"MtrElec",1,1,14,"",188.027,0,1.05439,0,2.73319,0,0.163783,0,0,8.32765,7.77553,0,0,5.3298,54.647,0,18.5732,0,72.0906,3.99134,13.3408,0,0,0,0
"MtrElec",1,1,15,"",201.349,0,0.543474,0,53.9908,0,0.163783,0,0,8.32765,7.77554,0,0,5.3298,57.1222,0,18.3697,0,33.7363,1.97117,14.0191,0,0,0,0
"MtrElec",1,1,16,"",176.763,0,0.732897,0,36.3562,0,0.163783,0,0,8.32765,7.77554,0,0,6.5988,59.8622,0,18.3784,0,16.6611,6.53062,15.3758,0,0,0,0
"MtrElec",1,1,17,"",234.733,0,2.27256,0,39.4448,0,0.163783,0,0,8.32765,7.77554,0,0,7.8678,66.6719,0,18.5596,0,55.1992,7.87351,20.5765,0,0,0,0
