20,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-CLI 2025.3.0 RC (1415)"
,CompMgr:,,"BEMCmpMgr 2025.3.0-RC (1083)"
,OpenStudio:,,"3.10.0+e80a80c812"
,EnergyPlus:,,"25.1.0-1c11a3d85f"
,CSE:,,"CSE 1.0.0-rc1 EXE"
,Ruleset:,,"Constructed At Runtime"
Run Title:,,,"MF88 Individual Supply + Individual Exhaust (ERV, WSHP)"
Run Date/Time:,,,"2026-09-23 13:48:07"
NonRes Cond. Area:,,,17613
Residential Cond. Area:,,,95028
Gross-Up adjustment to NEM3:,,,6.6,%
Model:,,,"Standard"
Model File:,,,"C:\Users\MichaelSawford\Documents\Claude\Projects\Complex HVAC\v1.1_build\output\EX03_MF_Central-WSHP\EX03_MF88_Central-WSHP_CZ09\EX03_MF88_Central-WSHP_CZ09.cibd25x"

,,,,Nonres Site Electric Use,,,,,,,,,,,,,Nonres Site Natural Gas Use,,,,,,,,,,,,,Nonres Site Propane Use,,,,,,,,,,,,,Nonres LSC Multipliers,,,Nonres Source Energy Multipliers,,,Nonres CO2 Emissions Multipliers,,,Nonres Elec Demand,Building Wide,,,PV/Batt Mults (Res/NRes area weighted avg),,,,Residential Site Electric Use,,,,,,,,,,,,,Residential Site Natural Gas Use,,,,,,,,,,,,,Residential Site Propane Use,,,,,,,,,,,,,Res LSC Multipliers,,,Res Source Energy Multipliers,,,Res CO2 Emissions Multipliers,,,Res Elec Demand,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,LSC,Source Energy,CO2 Emis,Elec Demand,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),(mult),($/kWh),(kBtu/kWh),(tonnes CO2-e/kWh),(frac),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),
1,1,1, 01/01 01,0,0,0,0,0,0.567002,0.836618,0.88065,0,0,0,1.40362,2.28427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3628,626.966,894.518,8.29512,89.9626,100,0.000438895,0.0054633,0.006288,0.00127989,0,0,9.24223,16.0616,8.29512,0.000438895,0.00127989,2.29815,0,6.20326,0,1.78326,13.5076,7.61334,15.0407,10.2547,1.71036,7.32383,31.4056,65.7352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1911,1269.81,1106.78,8.29512,89.9626,100,0.000438895,0.0060051,0.006288,0.00127989,
1,1,2, 01/01 02,0,0,0,0,0,0.850382,0.836618,0.88065,0,0,0,1.687,2.56765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3529,626.966,894.518,7.19566,89.9626,100,0.000380722,0.0054633,0.006288,0.000390829,0,0,6.17296,12.1377,7.19566,0.000380722,0.000390829,2.61545,0,6.21032,0,1.78302,2.81923,7.61334,13.853,5.25942,1.4129,7.32383,21.0414,48.8905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2831,1269.81,1106.78,7.19566,89.9626,100,0.000380722,0.0060051,0.006288,0.000390829,
1,1,3, 01/01 03,0,0,0,0,0,0.566893,0.836618,0.88065,0,0,0,1.40351,2.28416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74636,626.966,894.518,4.74042,89.9626,100,0.000250816,0.0054633,0.006288,0,0,0,2.64704,7.62995,4.74042,0.000250816,0,2.79641,0,6.22707,0,1.78121,2.13701,7.61334,13.1418,4.38095,1.11545,7.32383,20.555,46.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79372,1269.81,1106.78,4.74042,89.9626,100,0.000250816,0.0060051,0.006288,0,
1,1,4, 01/01 04,0,0,0,0,0,0.560025,0.836618,0.88065,0,0,0,1.39664,2.27729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53065,626.966,894.518,4.31459,89.9626,100,0.000228285,0.0054633,0.006288,0,0,0,2.48192,7.41886,4.31459,0.000228285,0,3.33864,0,6.2472,0,1.77702,2.75775,7.61334,13.1043,4.27465,1.26418,7.32383,21.734,47.7009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58349,1269.81,1106.78,4.31459,89.9626,100,0.000228285,0.0060051,0.006288,0,
1,1,5, 01/01 05,0,0,0,0,0,0.839963,0.836618,0.88065,0,0,0,1.67658,2.55723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49252,626.966,894.518,4.23227,89.9626,100,0.000223929,0.0054633,0.006288,0,0,0,2.45273,7.38155,4.23227,0.000223929,0,3.62339,0,6.26363,0,1.77268,2.21427,7.61334,12.4563,4.1413,1.56163,7.32383,21.4873,46.9704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54633,1269.81,1106.78,4.23227,89.9626,100,0.000223929,0.0060051,0.006288,0,
1,1,6, 01/01 06,0,0,0,0,0,0.560028,0.836618,0.88065,0,0,0,1.39665,2.2773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55552,626.966,894.518,4.35364,89.9626,100,0.000230351,0.0054633,0.006288,0,0,0,2.50096,7.4432,4.35364,0.000230351,0,3.87755,0,6.26963,0,1.76966,7.86803,7.61334,13.5848,4.25005,2.30527,7.32383,27.3982,54.8622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60773,1269.81,1106.78,4.35364,89.9626,100,0.000230351,0.0060051,0.006288,0,
1,1,7, 01/01 07,0,0,0,0,0,0.566856,0.836618,0.88065,0,0,0,1.40347,2.28412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51072,626.966,894.518,5.54605,89.9626,100,0.000293441,0.0054633,0.006288,0.000150648,0,0,3.23209,8.37792,5.54605,0.000293441,0.000150648,4.05901,0,6.25984,0,1.76849,24.3538,7.61334,15.2972,5.62129,3.12326,7.32383,44.0545,75.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53865,1269.81,1106.78,5.54605,89.9626,100,0.000293441,0.0060051,0.006288,0.000150648,
1,1,8, 01/01 08,0,0,0,0,0,1.1777,0.836618,0.88065,0,0,0,2.01431,2.89496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54374,626.966,894.518,4.35696,89.9626,100,0.000230527,0.0054633,0.006288,0,-28.918,0,2.49194,7.43167,4.35696,0.000230527,0,3.7147,0,6.25099,0,1.77036,24.2461,7.77979,16.6774,12.6347,3.0489,7.32383,43.762,83.4468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59624,1269.81,1106.78,4.35696,89.9626,100,0.000230527,0.0060051,0.006288,0,
