"",001
"Wed 23-Sep-26   1:57:17 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",48.0992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0992,0,0,0
"MtrElec",1,1,2,"",49.6596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.6596,0,0,0
"MtrElec",1,1,3,"",47.2984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2984,0,0,0
"MtrElec",1,1,4,"",51.0985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0985,0,0,0
"MtrElec",1,1,5,"",50.0923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0923,0,0,0
"MtrElec",1,1,6,"",52.6862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.6862,0,0,0
"MtrElec",1,1,7,"",55.1484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.1484,0,0,0
"MtrElec",1,1,8,"",73.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.5083,0,0,-23.2023
"MtrElec",1,1,9,"",28.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.2052,0,0,-70.4242
"MtrElec",1,1,10,"",71.0543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.147,0,0,-108.092
"MtrElec",1,1,11,"",47.7971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.428,0,0,-131.631
"MtrElec",1,1,12,"",43.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.344,0,0,-140.429
"MtrElec",1,1,13,"",51.1748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.735,0,0,-136.56
"MtrElec",1,1,14,"",20.7281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.477,0,0,-83.7489
"MtrElec",1,1,15,"",33.5623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.23,0,0,-68.6678
"MtrElec",1,1,16,"",56.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.6914,0,0,-42.0064
"MtrElec",1,1,17,"",90.5032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.6065,0,0,-5.10326
"MtrElec",1,1,18,"",87.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.491,0,0,0
"MtrElec",1,1,19,"",44.6881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.6881,0,0,0
"MtrElec",1,1,20,"",46.1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.1239,0,0,0
"MtrElec",1,1,21,"",46.0806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0806,0,0,0
"MtrElec",1,1,22,"",44.1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.1135,0,0,0
"MtrElec",1,1,23,"",45.9066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.9066,0,0,0
"MtrElec",1,1,24,"",49.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.301,0,0,0
"MtrElec",1,2,1,"",62.2473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.2473,0,0,0
"MtrElec",1,2,2,"",63.3703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.3703,0,0,0
"MtrElec",1,2,3,"",62.4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.4241,0,0,0
"MtrElec",1,2,4,"",63.8657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.8657,0,0,0
"MtrElec",1,2,5,"",61.9941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.9941,0,0,0
"MtrElec",1,2,6,"",63.4914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.4914,0,0,0
"MtrElec",1,2,7,"",170.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.853,0,0,0
"MtrElec",1,2,8,"",219.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.251,0,0,-0.488657
"MtrElec",1,2,9,"",277.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.928,0,0,-11.5689
"MtrElec",1,2,10,"",581.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594.019,0,0,-12.2758
"MtrElec",1,2,11,"",580.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596.951,0,0,-16.403
"MtrElec",1,2,12,"",367.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.234,0,0,-20.0416
"MtrElec",1,2,13,"",361.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.392,0,0,-21.319
"MtrElec",1,2,14,"",572.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583.493,0,0,-10.5944
"MtrElec",1,2,15,"",585.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597.271,0,0,-11.8667
"MtrElec",1,2,16,"",587.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592.034,0,0,-4.77176
"MtrElec",1,2,17,"",569.865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570.175,0,0,-0.310643
"MtrElec",1,2,18,"",567.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567.784,0,0,0
"MtrElec",1,2,19,"",207.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.441,0,0,0
"MtrElec",1,2,20,"",199.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.453,0,0,0
"MtrElec",1,2,21,"",153.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.736,0,0,0
"MtrElec",1,2,22,"",152.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.781,0,0,0
"MtrElec",1,2,23,"",59.7616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.7616,0,0,0
"MtrElec",1,2,24,"",59.7411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.7411,0,0,0
