"",001
"Wed 23-Sep-26   1:57:17 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",92.7921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.7921,0,0,0
"MtrElec",1,1,2,"",95.6201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.6201,0,0,0
"MtrElec",1,1,3,"",96.1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.1152,0,0,0
"MtrElec",1,1,4,"",98.2519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.2519,0,0,0
"MtrElec",1,1,5,"",99.1445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.1445,0,0,0
"MtrElec",1,1,6,"",102.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.635,0,0,0
"MtrElec",1,1,7,"",106.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.233,0,0,0
"MtrElec",1,1,8,"",121.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.411,0,0,-23.2035
"MtrElec",1,1,9,"",71.1626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.59,0,0,-70.4279
"MtrElec",1,1,10,"",86.7974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.895,0,0,-108.098
"MtrElec",1,1,11,"",52.7464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.384,0,0,-131.637
"MtrElec",1,1,12,"",42.0966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.533,0,0,-140.436
"MtrElec",1,1,13,"",41.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.08,0,0,-136.568
"MtrElec",1,1,14,"",15.5052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.2585,0,0,-83.7533
"MtrElec",1,1,15,"",32.4474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.119,0,0,-68.6714
"MtrElec",1,1,16,"",57.2407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.2493,0,0,-42.0086
"MtrElec",1,1,17,"",94.5112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.6147,0,0,-5.10353
"MtrElec",1,1,18,"",100.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.289,0,0,0
"MtrElec",1,1,19,"",66.5381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.5381,0,0,0
"MtrElec",1,1,20,"",74.9708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.9708,0,0,0
"MtrElec",1,1,21,"",76.7779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.7779,0,0,0
"MtrElec",1,1,22,"",73.4985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.4985,0,0,0
"MtrElec",1,1,23,"",80.9762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.9762,0,0,0
"MtrElec",1,1,24,"",88.5812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.5812,0,0,0
"MtrElec",1,2,1,"",98.4621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.4621,0,0,0
"MtrElec",1,2,2,"",95.2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.2031,0,0,0
"MtrElec",1,2,3,"",96.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.365,0,0,0
"MtrElec",1,2,4,"",103.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.03,0,0,0
"MtrElec",1,2,5,"",99.2564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.2564,0,0,0
"MtrElec",1,2,6,"",93.5759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.5759,0,0,0
"MtrElec",1,2,7,"",167.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.166,0,0,0
"MtrElec",1,2,8,"",201.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.414,0,0,-0.488683
"MtrElec",1,2,9,"",249.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.154,0,0,-11.5695
"MtrElec",1,2,10,"",522.324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534.6,0,0,-12.2765
"MtrElec",1,2,11,"",521.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538.043,0,0,-16.4038
"MtrElec",1,2,12,"",309.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.83,0,0,-20.0427
"MtrElec",1,2,13,"",304.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.47,0,0,-21.3201
"MtrElec",1,2,14,"",513.769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524.364,0,0,-10.595
"MtrElec",1,2,15,"",527.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539.193,0,0,-11.8673
"MtrElec",1,2,16,"",530.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535.184,0,0,-4.77201
"MtrElec",1,2,17,"",515.557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515.868,0,0,-0.310659
"MtrElec",1,2,18,"",522.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522.59,0,0,0
"MtrElec",1,2,19,"",173.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.183,0,0,0
"MtrElec",1,2,20,"",179.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.764,0,0,0
"MtrElec",1,2,21,"",139.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.106,0,0,0
"MtrElec",1,2,22,"",141.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.173,0,0,0
"MtrElec",1,2,23,"",103.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.56,0,0,0
"MtrElec",1,2,24,"",107.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.052,0,0,0
"MtrElec",1,3,1,"",95.9507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.9507,0,0,0
"MtrElec",1,3,2,"",95.1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.1148,0,0,0
"MtrElec",1,3,3,"",93.2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.2053,0,0,0
"MtrElec",1,3,4,"",94.0976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0976,0,0,0
"MtrElec",1,3,5,"",101.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.756,0,0,0
"MtrElec",1,3,6,"",102.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.476,0,0,0
"MtrElec",1,3,7,"",100.618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.618,0,0,0
"MtrElec",1,3,8,"",206.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.524,0,0,0
"MtrElec",1,3,9,"",176.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.604,0,0,-4.83843
"MtrElec",1,3,10,"",235.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.874,0,0,-12.7672
"MtrElec",1,3,11,"",196.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.437,0,0,-38.2605
"MtrElec",1,3,12,"",162.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.585,0,0,-52.4052
"MtrElec",1,3,13,"",139.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.47,0,0,-60.3551
"MtrElec",1,3,14,"",9.81386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.1847,0,0,-85.3709
"MtrElec",1,3,15,"",21.9629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.6395,0,0,-73.6767
"MtrElec",1,3,16,"",73.8881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.972,0,0,-23.0839
"MtrElec",1,3,17,"",97.1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.7167,0,0,-2.57121
"MtrElec",1,3,18,"",98.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.316,0,0,0
"MtrElec",1,3,19,"",58.9689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.9689,0,0,0
"MtrElec",1,3,20,"",60.6395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.6395,0,0,0
"MtrElec",1,3,21,"",66.3016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.3016,0,0,0
"MtrElec",1,3,22,"",75.8334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.8334,0,0,0
"MtrElec",1,3,23,"",83.1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.1914,0,0,0
"MtrElec",1,3,24,"",91.1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.1253,0,0,0
"MtrElec",1,4,1,"",93.7796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.7796,0,0,0
"MtrElec",1,4,2,"",97.4627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.4627,0,0,0
"MtrElec",1,4,3,"",98.8378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.8378,0,0,0
"MtrElec",1,4,4,"",102.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.312,0,0,0
"MtrElec",1,4,5,"",105.811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.811,0,0,0
"MtrElec",1,4,6,"",106.706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.706,0,0,0
"MtrElec",1,4,7,"",104.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.99,0,0,0
"MtrElec",1,4,8,"",116.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.15,0,0,-24.1197
"MtrElec",1,4,9,"",59.9882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.246,0,0,-70.2579
"MtrElec",1,4,10,"",79.5289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.507,0,0,-105.978
"MtrElec",1,4,11,"",54.4745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.085,0,0,-127.611
"MtrElec",1,4,12,"",45.6304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.388,0,0,-140.757
"MtrElec",1,4,13,"",47.2715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.875,0,0,-140.604
"MtrElec",1,4,14,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.738,0,13.142,-124.88
"MtrElec",1,4,15,"",14.6039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.33,0,0,-98.7262
"MtrElec",1,4,16,"",49.1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.114,0,0,-61.9926
"MtrElec",1,4,17,"",90.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.877,0,0,-16.5498
"MtrElec",1,4,18,"",100.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.376,0,0,0
"MtrElec",1,4,19,"",46.9916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.8522,0,-11.8607,0
"MtrElec",1,4,20,"",61.2568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.2568,0,0,0
"MtrElec",1,4,21,"",62.5087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5087,0,0,0
