AirSystems
,,Fan Capacity,,,,Fan Pwr (Design),,,,,Fan Pwr Ratio,,,,Fan Pwr Adj
System Name,Type,Supply Fan Capacity,Return Fan Capacity,Relief Fan Capacity,Exhaust Fan Capacity,Supply Fan Pwr,Return Fan Pwr,Relief Fan Pwr,Exhaust Fan Pwr,Total System Fan Pwr,Supply Fan Pwr Ratio,Return Fan Pwr Ratio,Relief Fan Pwr Ratio,Exhaust Fan Pwr Ratio,Total Exhaust Fan Pwr Adj,Total NonExhaust Fan Pwr Adj,Total System Fan Pwr Adj,Fully Ducted Exhaust Pressure Drop Adj,Exhaust Filter Pressure Drop Adj,Biosafety Cabinet Pressure Drop Adj,Fully Ducted Return Pressure Drop Adj,MERV16 Filter Pressure Drop Adj,Air Cleaner Pressure Drop Adj,Fully Ducted Exhaust Design Flow,Exhaust Filter Design Flow,Biosafety Design Flow,Fully Ducted Return Design Flow,MERV16 Filter Design Flow,Air Cleaner Design Flow
,,(cfm),(cfm),(cfm),(cfm),(kW),(kW),(kW),(kW),(kW),(frac),(frac),(frac),(frac),(kW),(kW),(kW),(inH2O),(inH2O),(inH2O),(inH2O),(inH2O),(inH2O),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm)
"BaseAirSys5","PVAV",7269.4,0.0,0.0,0.0,8.097,0.000,0.000,0.000,9.814,0.596,0.000,0.000,0.404,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys5-2","PVAV",7047.8,0.0,0.0,0.0,7.762,0.000,0.000,0.000,7.201,0.596,0.000,0.000,0.404,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b","SZHP",1590.4,0.0,0.0,0.0,1.115,0.000,0.000,0.000,1.081,0.945,0.000,0.000,0.055,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-2","SZHP",1823.3,0.0,0.0,0.0,1.280,0.000,0.000,0.000,1.008,0.946,0.000,0.000,0.054,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-3","SZHP",509.2,0.0,0.0,0.0,0.353,0.000,0.000,0.000,0.347,0.935,0.000,0.000,0.065,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-4","SZHP",1656.2,0.0,0.0,0.0,1.163,0.000,0.000,0.000,0.673,0.946,0.000,0.000,0.054,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-5","SZHP",1237.1,0.0,0.0,0.0,0.875,0.000,0.000,0.000,0.826,0.953,0.000,0.000,0.047,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-6","SZHP",885.4,0.0,0.0,0.0,0.615,0.000,0.000,0.000,0.351,0.936,0.000,0.000,0.064,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-7","SZHP",2120.1,0.0,0.0,0.0,1.324,0.000,0.000,0.000,1.143,0.842,0.000,0.000,0.158,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-8","SZHP",905.8,0.0,0.0,0.0,0.656,0.000,0.000,0.000,0.665,0.976,0.000,0.000,0.024,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-9","SZHP",1340.3,0.0,0.0,0.0,0.973,0.000,0.000,0.000,1.416,0.978,0.000,0.000,0.022,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-10","SZHP",278.8,0.0,0.0,0.0,0.202,0.000,0.000,0.000,0.305,0.978,0.000,0.000,0.022,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-11","SZHP",500.3,0.0,0.0,0.0,0.363,0.000,0.000,0.000,0.440,0.978,0.000,0.000,0.022,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-12","SZHP",1078.3,0.0,0.0,0.0,0.783,0.000,0.000,0.000,1.190,0.978,0.000,0.000,0.022,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-13","SZHP",1951.1,0.0,0.0,0.0,1.416,0.000,0.000,0.000,0.560,0.978,0.000,0.000,0.022,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-14","SZHP",2048.9,0.0,0.0,0.0,1.484,0.000,0.000,0.000,1.514,0.976,0.000,0.000,0.024,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-15","SZHP",101.6,0.0,0.0,0.0,0.074,0.000,0.000,0.000,0.041,0.978,0.000,0.000,0.022,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys11","SZAC",738.4,0.0,0.0,0.0,0.428,0.000,0.000,0.000,0.091,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys11-2","SZAC",766.7,0.0,0.0,0.0,0.445,0.000,0.000,0.000,0.091,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-16","SZHP",755.8,0.0,0.0,0.0,0.531,0.000,0.000,0.000,0.403,0.947,0.000,0.000,0.053,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-17","SZHP",599.9,0.0,0.0,0.0,0.422,0.000,0.000,0.000,0.311,0.947,0.000,0.000,0.053,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-18","SZHP",488.6,0.0,0.0,0.0,0.355,0.000,0.000,0.000,0.373,0.978,0.000,0.000,0.022,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys7or3b-19","SZHP",1210.1,0.0,0.0,0.0,0.858,0.000,0.000,0.000,0.727,0.955,0.000,0.000,0.045,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000

Thermal Zone
,,,,,,Fan Capacity,,,Fan Flow Ratio,,,Fan Pwr,,,,,Fan Pwr Adj
Name,Pri HVAC Sys,Vent Sys,Exhaust Sys,Floor Area,Multiplier,Pri. System Flow,Ventilation System Flow,Exhaust Flow,Zone Pri-Air-Flow-to-Sys Flow Ratio,Zone Vent-to-Sys-Air Flow Ratio,Zone Exh-to-Sys Flow Ratio,Prop Supply Fan Pwr,Prop Return Fan Pwr,Prop Relief Fan Pwr,Prop Exhaust Fan Pwr,Total Prop Fan Pwr,Total Exhaust Fan Pwr Adj,Total NonExhaust Fan Pwr Adj,Total Fan Pwr Adj,Fully Ducted Exhaust Pwr Adj,Exhaust Filter Fan Pwr Adj,Biosafety Cabinet Fan Pwr Adj,Fully Ducted Return Fan Pwr Adj,MERV16 Fan Pwr Adj,Air Cleaner Fan Pwr Adj,Exhaust Fan Motor BHP
,,,,(ft2),,(cfm),(cfm),(cfm),(frac),(frac),(frac),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW)
"L2_ZN02_Core Classroom","BaseAirSys7or3b","BaseAirSys7or3b","NONE",1255.3,1,1590.4,1590.4,197.6,1.000,0.041,0.037,1.022,0.000,0.000,0.059,1.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.065
"L2_ZN07_Huddle Area","BaseAirSys7or3b-2","BaseAirSys7or3b-2","NONE",1184.3,1,1823.3,1823.3,180.7,1.000,0.038,0.034,0.954,0.000,0.000,0.054,1.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.073
"L2_ZN04_Huddle Offices","BaseAirSys7or3b-3","BaseAirSys7or3b-3","NONE",354.8,1,509.2,509.2,75.3,1.000,0.016,0.014,0.325,0.000,0.000,0.023,0.347,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025
"L2_ZN07 North Conf","BaseAirSys7or3b-4","BaseAirSys7or3b-4","NONE",790.5,1,1656.2,1656.2,120.5,1.000,0.025,0.023,0.636,0.000,0.000,0.036,0.673,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.066
"L2_ZN01_Core Conf Room","BaseAirSys7or3b-5","BaseAirSys7or3b-5","NONE",1045.9,1,1237.1,1237.1,129.4,1.000,0.027,0.024,0.787,0.000,0.000,0.039,0.826,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.043
"L2_ZN06 Corner Conf","BaseAirSys7or3b-6","BaseAirSys7or3b-6","NONE",361.1,1,885.4,885.4,75.3,1.000,0.016,0.014,0.328,0.000,0.000,0.023,0.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.042
"L1_ZN09 N Conf Room","BaseAirSys7or3b-7","BaseAirSys7or3b-7","NONE",1517.0,1,2120.1,2120.1,602.3,1.000,0.019,0.114,0.962,0.000,0.000,0.181,1.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.249
"L2_ZN13 Core Conf Room","BaseAirSys7or3b-8","BaseAirSys7or3b-8","NONE",1045.9,1,905.8,905.8,54.1,1.000,0.011,0.010,0.649,0.000,0.000,0.016,0.665,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.016
"L1_ZN08 NE Corridor","BaseAirSys7or3b-9","BaseAirSys7or3b-9","NONE",2278.8,1,1340.3,1340.3,102.9,1.000,0.022,0.019,1.386,0.000,0.000,0.031,1.416,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.022
"L1_ZN12 SE Corridor Corner","BaseAirSys7or3b-10","BaseAirSys7or3b-10","NONE",490.9,1,278.8,278.8,22.2,1.000,0.005,0.004,0.299,0.000,0.000,0.007,0.305,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005
"L1_ZN04_South Corridor","BaseAirSys7or3b-11","BaseAirSys7or3b-11","NONE",707.4,1,500.3,500.3,32.0,1.000,0.007,0.006,0.430,0.000,0.000,0.010,0.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008
"L1_ZN05_Core Corridor","BaseAirSys7or3b-12","BaseAirSys7or3b-12","NONE",1914.7,1,1078.3,1078.3,86.5,1.000,0.018,0.016,1.164,0.000,0.000,0.026,1.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017
"L2_ZN09 NE Corridor","BaseAirSys7or3b-13","BaseAirSys7or3b-13","NONE",900.3,1,1951.1,1951.1,40.7,1.000,0.009,0.008,0.547,0.000,0.000,0.012,0.560,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.032
"L2_ZN08_Recep Corridor","BaseAirSys7or3b-14","BaseAirSys7or3b-14","NONE",2387.9,1,2048.9,2048.9,121.9,1.000,0.025,0.023,1.478,0.000,0.000,0.037,1.514,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.037
"L1_ZN13 Elec Room","BaseAirSys7or3b-15","BaseAirSys7or3b-15","NONE",65.4,1,101.6,101.6,3.0,1.000,0.001,0.001,0.040,0.000,0.000,0.001,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002
"L1_ZN06_IT Room","BaseAirSys11","BaseAirSys11","NONE",105.0,1,738.4,738.4,0.0,1.000,0.000,0.000,0.091,0.000,0.000,0.000,0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L2_ZN10_IT Room","BaseAirSys11-2","BaseAirSys11-2","NONE",105.0,1,766.7,766.7,0.0,1.000,0.000,0.000,0.091,0.000,0.000,0.000,0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"L2_ZN11_Breakroom","BaseAirSys7or3b-16","BaseAirSys7or3b-16","NONE",477.2,1,755.8,755.8,71.1,1.000,0.015,0.013,0.381,0.000,0.000,0.021,0.403,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030
"L1_ZN13 Lobby NW","BaseAirSys7or3b-17","BaseAirSys7or3b-17","NONE",368.7,1,599.9,599.9,55.0,1.000,0.011,0.010,0.295,0.000,0.000,0.016,0.311,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.024
"L1_ZN03_South Open Office","BaseAirSys5","BaseAirSys5","NONE",785.8,1,1267.1,1216.3,1021.5,1.000,0.064,0.097,0.978,0.000,0.000,0.664,1.642,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.787
"L1_ZN02 Core_Open Office","BaseAirSys5","BaseAirSys5","NONE",2028.6,1,3172.2,3139.9,2637.1,1.000,0.166,0.249,2.525,0.000,0.000,1.714,4.239,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.031
"L2_ZN03_South Open Office","BaseAirSys5-2","BaseAirSys5-2","NONE",1397.7,1,2735.5,2858.6,1817.0,1.000,0.114,0.172,1.740,0.000,0.000,1.181,2.921,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.434
"L2_ZN05_Core Open Office Cor","BaseAirSys5-2","BaseAirSys5-2","NONE",2048.3,1,4312.2,4189.2,2662.8,1.000,0.168,0.252,2.549,0.000,0.000,1.731,4.280,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.101
"L1_ZN14_Core Open Office","BaseAirSys5","BaseAirSys5","NONE",1286.2,1,1952.3,1990.8,1672.0,1.000,0.105,0.158,1.601,0.000,0.000,1.087,2.688,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.287
"L1_ZN07_Restroom","NONE","NONE","NONE",654.1,1,0.0,0.0,350.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.070
"L2_ZN14 Restroom","NONE","NONE","NONE",811.2,1,0.0,0.0,400.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.080
"L2_ZN12 Storage","BaseAirSys7or3b-18","BaseAirSys7or3b-18","NONE",600.2,1,488.6,488.6,27.1,1.000,0.006,0.005,0.365,0.000,0.000,0.008,0.373,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008
"L1_ZN05_Fitness Center","BaseAirSys7or3b-19","BaseAirSys7or3b-19","NONE",941.5,1,1210.1,1210.1,108.6,1.000,0.023,0.021,0.694,0.000,0.000,0.033,0.727,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.040
"L1_ZN01_SE_Open Office","BaseAirSys5","BaseAirSys5","NONE",595.9,1,877.7,922.3,774.6,1.000,0.049,0.073,0.742,0.000,0.000,0.504,1.245,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.596
