20,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-CLI 2025.3.0 RC (1415)"
,CompMgr:,,"BEMCmpMgr 2025.3.0-RC (1083)"
,OpenStudio:,,"3.10.0+e80a80c812"
,EnergyPlus:,,"25.1.0-1c11a3d85f"
,CSE:,,"CSE 1.0.0-rc1 EXE"
,Ruleset:,,"Constructed At Runtime"
Run Title:,,,""
Run Date/Time:,,,"2026-09-23 13:57:17"
NonRes Cond. Area:,,,27040
Residential Cond. Area:,,,0
Gross-Up adjustment to NEM3:,,,6.6,%
Model:,,,"Standard"
Model File:,,,"C:\Users\MichaelSawford\Documents\Claude\Projects\Complex HVAC\v1.1_build\output\EX06_NR_Class-Lab-DOAS-FPFC\EX06_NR_Class-Lab-DOAS-FPFC.cibd25x"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),(mult)
1,1,1, 01/01 01,0.548734,0.180935,8.47574,0,0.013394,0,1.20844,1.56975,2.05188,0.0476204,0,10.4272,14.0965,0,0,0,0,0,0,0,0,0,0,0,0,0,134.558,0,0,0,0,0,0,0,0,0,0,134.558,134.558,15.3628,626.966,894.518,8.29512,89.9626,100,0.000438895,0.0054633,0.006288,0.00127989,0,0,9.24223,
1,1,2, 01/01 02,0.559477,0.176926,8.92558,0,0.0140777,0,1.20844,1.56975,2.05188,0.0476204,0,10.8845,14.5538,0,0,0,0,0,0,0,0,0,0,0,0,0,138.957,0,0,0,0,0,0,0,0,0,0,138.957,138.957,11.3529,626.966,894.518,7.19566,89.9626,100,0.000380722,0.0054633,0.006288,0.000390829,0,0,6.17296,
1,1,3, 01/01 03,0.571704,0.167164,8.23079,0,0.0144494,0,1.20844,1.56975,2.05188,0.0476204,0,10.1925,13.8618,0,0,0,0,0,0,0,0,0,0,0,0,0,140.023,0,0,0,0,0,0,0,0,0,0,140.023,140.023,6.74636,626.966,894.518,4.74042,89.9626,100,0.000250816,0.0054633,0.006288,0,0,0,2.64704,
1,1,4, 01/01 04,0.549469,0.168439,9.36464,0,0.0152723,0,1.20844,1.56975,2.05188,0.0476204,0,11.3063,14.9755,0,0,0,0,0,0,0,0,0,0,0,0,0,143.399,0,0,0,0,0,0,0,0,0,0,143.399,143.399,6.53065,626.966,894.518,4.31459,89.9626,100,0.000228285,0.0054633,0.006288,0,0,0,2.48192,
1,1,5, 01/01 05,0.607301,0.161766,9.01822,0,0.0155871,0,1.20844,1.56975,2.05188,0.0476204,0,11.0113,14.6806,0,0,0,0,0,0,0,0,0,0,0,0,0,144.929,0,0,0,0,0,0,0,0,0,0,144.929,144.929,6.49252,626.966,894.518,4.23227,89.9626,100,0.000223929,0.0054633,0.006288,0,0,0,2.45273,
1,1,6, 01/01 06,0.586033,0.166525,9.78811,0,0.0171684,0,1.21369,1.56975,2.05188,0.0476204,0,11.7715,15.4408,0,0,0,0,0,0,0,0,0,0,0,0,0,150.38,0,0,0,0,0,0,0,0,0,0,150.38,150.38,6.55552,626.966,894.518,4.35364,89.9626,100,0.000230351,0.0054633,0.006288,0,0,0,2.50096,
1,1,7, 01/01 07,0.705177,0.159076,10.3964,0,0.0188074,0,1.21369,1.56975,2.05188,0.0476204,0,12.4931,16.1624,0,0,0,0,0,0,0,0,0,0,0,0,0,155.372,0,0,0,0,0,0,0,0,0,0,155.372,155.372,7.51072,626.966,894.518,5.54605,89.9626,100,0.000293441,0.0054633,0.006288,0.000150648,0,0,3.23209,
1,1,8, 01/01 08,0.63241,0.165018,10.3397,0,0.0168414,0,1.12242,13.9151,2.05188,0.0403673,0,12.2764,28.2838,0,0,0,0,0,0,0,0,0,0,0,0,0,149.643,0,0,0,0,0,0,0,0,0,0,149.643,149.643,6.54374,626.966,894.518,4.35696,89.9626,100,0.000230527,0.0054633,0.006288,0,-6.79827,0,2.49194,
1,1,9, 01/01 09,0.573873,0.164581,9.22229,0,0.01366,0,3.10268,13.9151,2.05188,0.0300847,0,13.0771,29.0742,0,0,0,0,0,0,0,0,0,0,0,0,0,137.314,0,0,0,0,0,0,0,0,0,0,137.314,137.314,5.68693,626.966,894.518,2.68137,89.9626,100,0.000141871,0.0054633,0.006288,0,-20.6343,0,1.83612,
